Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova,octagons
NUTRAMEAL GREEN GRAMS POLISHED,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Daawat Spaghetti Blue Label400G 2 1,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Daawat Traditional Basmati Rice,,,0.0017g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Pearl Green Polished Grams,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Santa Maria Fusilli Pasta,,13g,,PASTAS,OTHER PASTA SHAPES,Processed foods,1
Pearl Super Basmati Rice,,,0.0017g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Pulses Yellow Kidney Beans,2.2g,0.8g,0.024g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods,0
Pearl Super Basmati fortified Rice,,,0.0017g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Nutrameal Kamande (Masoor Whole),5g,4g,1.046g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,2
Nutrameal Yellow Beans,,2.6g,0.012g,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,0
Amana Yellow Beans,,,0.015g,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,0
KPL LONG GRAIN RICE,,0.47g,1.7g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,1
Butterfly Red Lentil Masoor Dal,,1g,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Santa Maria Penne Rigate Pasta,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Carrefour M Popcorn Kernels,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
DAAWAT LENTILS KAMANDE,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Butterfly Grains Polished Green Grams,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Malbros Daawat Aromatic Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Pulses Green Lentils,1g,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Nutrameal Regular Chick Peas,2g,0.4g,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Santa Maria Spaghetti Pasta,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
BUTTERFLY POPCORN KERNELS,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
Daawat Spaghetti Blue Label,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Ranee Premium Basmati Rice,1.6g,0.0017g,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Godson Organics Chia Seed Black,,14g,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,1
Carrefour M Green Grams Polished,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Royal Macaroni Shell Pasta,16g,,0.01g,PASTAS,PASTA - MACARONI,Processed foods,1
Nutrameal Green Lentils,1g,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Royal Umbrella Thai Jasmine Rice,,0.7g,0.0002g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Grains Popcorn Kernels,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
Sunrice Biryani Rice,,,0.0041g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Santa Lucia Penne Rigate Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Butterfly Pulses Chick Peas,2g,0.4g,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Carrefour Mlogo Pasta Fusili,,1g,0g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Butterfly Semolina,,3g,0.005g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Nutrameal Pigeon Peas,,1.5g,0.017g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods,0
Ranee Spaghetti Standard,3.4g,1.5g,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Amana Pishori Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Santa Maria Cavatoni Pasta,,5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal Red Kidney Beans,,1.3g,,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods,0
Santa Lucia Farfalle Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Sunrice Kenya Finest Aromatic Pishori Rice,0.5g,0.8g,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Daawat Yellow Beans,,,,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,0
Pearl Imported Popcorn,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
Chia organic Premium Seed Black,1g,9g,0.001g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,1
Barilla N.5 Spaghetti Pasta,3.5g,2g,0.005g,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Daawat Pulses Green Grams,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Nutrameal Butter Beans,0.49g,0.04g,,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods,0
Godson Organics Quinoa Seeds,,3.7g,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Butterfly Premium Spaghetti Pasta,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
KPL Classic Long Grain Rice,0.1g,0.3g,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Kings M R P K Grade 1 Pishori Aromatic Basmati Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
GRANORO NO 17 RIGATONI,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal Nyayo Beans,,1.3g,,"PULSES - PEAS, LENTILS, BEANS",NYAYO BEANS,Unprocessed/Minimally processed foods,0
Godson Organics Flax Seeds Lin Seeds,,,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Barilla Lasagne No 189 Pasta,,9g,,PASTAS,OTHER PASTA SHAPES,Processed foods,1
Pasta Zara 112 Lasagne Gialle,3g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Santa Lucia Lumaca Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
CIL Long Grain Blended White Rice,1g,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Granoro I Classici No.4 Linguini Pasta,3g,1.5g,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
CIL Pishori Brown Rice,1.8g,0.005g,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Barilla Rigate Penne Pasta,3.5g,2g,0.005g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
GRANORO NO 26 PENNE RIGATE,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
GORO NO 121 LASAGNE,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Carrefour Mlogo Pasta Spaghetti,3g,1g,0g,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Barilla Linguine No 13 Pasta,3.5g,2g,0.005g,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Santa Lucia Shell Pasta,1g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Ranee Chef39s Special Parboiled Basmati Rice,,0.9g,0.0041g,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods,0
Naturalli Bulgar,,,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
BUTTERFLY GREEN GRAM POLISHED,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Barilla Chifferi Elbows Pasta,3.5g,2g,0.005g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Kings M P S Grade 1 Mwea Super Basmati Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
GRANORO NO 14 SPAGHETTI RISTO,3g,1.5g,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Amana Rosecoco Beans,3.5g,2.7g,,"PULSES - PEAS, LENTILS, BEANS",ROSECOCO BEANS,Unprocessed/Minimally processed foods,0
Granoro Integrale Organic Whole Wheat No 12 Spaghetti Pasta,3.4g,2.4g,0g,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Cil Aromatic Long Grain Sindano Fragrant Rice,0.12g,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Daawat Deli Basmati Rice,,0.5g,0.00075g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Pulses Lima Butter Beans,0.49g,0.04g,,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods,0
Butterfly Pulses Brown Rosecoco Beans,5g,1g,0.02g,"PULSES - PEAS, LENTILS, BEANS",ROSECOCO BEANS,Unprocessed/Minimally processed foods,1
Butterfly Pigeon Peas Washed Toor Dal,1g,0.5g,0.03g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods,0
Butterfly Pulses White Cow Peas (Chora Black Eyed Beans),,1.3g,,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods,0
Nature s Choice Quinoa Grains White,6g,3.5g,0.3g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,2
Nutrameal Black Njahi Beans,2.1g,1.4g,0.005g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,0
Butterfly Pulses Njahi Black Beans,2.1g,1.4g,0.005g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,0
Royal Premium Quality Macaroni Fussilli,,1.1g,,PASTAS,PASTA - MACARONI,Processed foods,0
Carrefour M Green Lentis,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Barilla Collezione Tagliatelle Pasta,,2g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Dr Chia Seeds Of Life Chia Seeds,,3.5g,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Carrefour Pasta Farfalle,3g,2g,0g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal White Cowpeas,,1.3g,,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods,0
Nutrameal Makueni Green Grams,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Nutrameal Masoor Dal,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Pearl Njahi Black Beans,,,,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,0
Santa Lucia Spirali Pasta,1g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Amana Nyayo Beans,,,0.015g,"PULSES - PEAS, LENTILS, BEANS",NYAYO BEANS,Unprocessed/Minimally processed foods,0
Santa Lucia Elbow Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Wnnies Pur Health Aromatic Pishori Brown Rice,,1.6g,0.00299g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Malbros Daawat Long Grain Rice,0.1g,0.4g,0.0016g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
De Cecco Fusilli Pasta,3g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Granoro N 27 Penne Classic Pasta,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Barilla Fettuccine Pasta,,2g,0.013g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Godson Organics Sesame Seeds,,9g,,HERBS AND SPICES,SPICES - SESAME SEEDS,Unprocessed/Minimally processed foods,1
Riscossa 25 Penne Zito Rigate Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Santa Lucia Tortgillion Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Carrefour Nyayo Beans,,,,"PULSES - PEAS, LENTILS, BEANS",NYAYO BEANS,Unprocessed/Minimally processed foods,0
Butterfly Lentils Split Mung Dal,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
CIL Long Grain Blended Rice,1g,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Cow Peas Red Chora,,2g,,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods,0
Butterfly Standard Spaghetti,3g,1g,0.001g,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods,0
Pearl Imported Popcorn Kernels,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
Butterfly Washed Toor Dal,1g,0.5g,0.03g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
BUTTERFLY NYOTA BEANS,,,,"PULSES - PEAS, LENTILS, BEANS",KENYAN HERITAGE BEANS,Unprocessed/Minimally processed foods,0
Amana Njahi Black Beans,,,,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,0
Granoro Canneroni No 21 Pasta,3g,1.5g,0g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal Red Cowpeas,6.9g,1.26g,0.016g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods,1
Butterfly Lentils Oily Toor Dal,1g,0.5g,0.03g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
BUTTERFLY GREEN GRAM MUNGDAL,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Amana Premium Basmati Rice,,,0.0017g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
ASANTA GREEN LENTILS,0g,0.4g,0.002g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
De Cecco No.12 Spaghetti,3.4g,1.5g,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Barilla N.3 Spaghettini Pasta,3.5g,2g,0.005g,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Butterfly Vermicelli Pasta,,0.003g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Butterfly Green Lentils,1g,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Nutrameal Washed Urad Dal,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
RISCOSSA PASTA 55 FAGIOLINI,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Butterfly Pulses Dried Green Peas,5g,13g,0.621g,"PULSES - PEAS, LENTILS, BEANS",GREEN PEAS (DRIED),Unprocessed/Minimally processed foods,3
Granoro N 32 Spirali Classic Pasta,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Malbros Daawat Brown Rice,,2.5g,0.005g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
GORO NO 100 SPIRALI GRANDI,3g,1.5g,,PASTAS,PASTA - GRANDI,Processed foods,0
Pasta Zara Rigatoni No 43 Macaroni,,1g,,PASTAS,PASTA - MACARONI,Processed foods,0
Carrefour Pasta Conchigle Rigate,61g,0g,0g,PASTAS,OTHER PASTA SHAPES,Processed foods,1
Pasta Zara 11 Linguine Pasta,3g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal Soya Beans,3g,9g,0.001g,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods,1
Barilla Angel Hair No 1 Pasta,3.5g,2g,0.005g,PASTAS,PASTA - SPAGHETTI,Processed foods,0
ASANTA GREEN GRAM POLISHED,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Naturalli Couscous,,,0.008g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Butterfly Pulses Kenyan Kidney Beans,2.2g,0.8g,0.024g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods,0
Nutrameal Brown Roscoco Beans,5g,1g,0.02g,"PULSES - PEAS, LENTILS, BEANS",ROSECOCO BEANS,Unprocessed/Minimally processed foods,1
Nutrameal Wairimu Beans,2.1g,1.4g,0.005g,"PULSES - PEAS, LENTILS, BEANS",KENYAN HERITAGE BEANS,Unprocessed/Minimally processed foods,0
Carrefour Ready Meal Beef Ravioli,,,,PASTAS,OTHER PASTA SHAPES,Ultra-processed foods,0
Ranee Everyday Long Grain Rice,0.1g,0.3g,0.001g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Mutlu Cous Cous,3g,2g,0.0004g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Guru Pishori Basmati Rice,,0.5g,0.00032g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Standard Spaghetti Pasta,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Santa Lucia Ditali Pasta,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
DE CECCO PASTA ALFABETO,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Pasta Zara 3 Spaghetti,3.4g,1.5g,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Pasta Zara 57 Spirali Pasta,1g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Ranee Long Grain Biryani Rice,,0.47g,0.0017g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
ASANTA POPCORN SEEDS,0g,4g,0.004g,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
Daawat Royal Basmati Rice,,0.5g,0.00075g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Black Gram Urad Dal,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Riscossa 24 Penne Zitoni Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
De Cecco No.23 Tortiglioni Pasta,3g,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Santa Maria Spaghetti Green,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Ranee Classic Basmati Rice,1.4g,0.0001g,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Granoro N 13 Spaghetti Vermicelli Classic Pasta,3g,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Roland Red Andean Quinoa Pre Washed,,,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
ASANTA YELLOW BEANS,0g,1g,0.02g,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,0
Mlogo Gold Basmati rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
ASANTA RICE BLENDED,,,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
Butterfly Whole Red Lentils,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
GORO NO 43 PENNONI RIGATE,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
BUTTERFLY MUNGDAL OILY G GRAMS,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Mlogo Diamond Basmati Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Carrefour Ready Meal Cassoulet,,,,FAST FOODS,PRE-PREPARED BEEF,Ultra-processed foods,0
Kings M R P K Grade 1 Premium Mwea Aromatic Pishori Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Riscossa Creste Di Gallo No 49 Pasta,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Butterfly Pulses Red Kidney Beans,,1.3g,,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods,0
Carrefour Pasta Ditali Rigati,0g,1g,0g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
SUNRICE LONG GRAIN,0g,0g,0.004g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Sunrice All Day Basmati Rice,,0.5g,0.0003g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
GURU PREMIUM BLEND PISHORI RICE,0g,0g,0g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Butterfly Spaghetti Pasta,,,,PASTAS,PASTA - SPAGHETTI,Processed foods,0
Kings Daily Brand Grade 1 Rose Coco Bean,5g,1g,0.02g,"PULSES - PEAS, LENTILS, BEANS",ROSECOCO BEANS,Unprocessed/Minimally processed foods,1
224 PILAU RICE,1g,3g,0g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Warda Lasagnes Pasta,,1.9g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal Split Urad Dal,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Butterfly Long Grain Kenya Pishori Rice,,0.2g,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Pasta Zara Spiral Piccole Pasta,,2.5g,0.0031g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Eva Green Gram Premium,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Carrefour Ready Meal Bourguignon Beef,,,,PROCESSED MEAT,PRE-PREPARED BEEF,Processed foods,0
Pasta Zara Farfalle No 31 Macaroni,,1.2g,,PASTAS,PASTA - MACARONI,Processed foods,0
Kings Daily Brand Pishori Basmati Rice,,,0.1g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
224 Superior Quality Long Grain Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Royal Macaroni Penne Rigate Pasta,16g,,0.01g,PASTAS,PASTA - MACARONI,Processed foods,1
Butterfly Black Gram Split,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Guru Aromatic Biryani Rice,,0.9g,0.0041g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Eva Pop Corn Kernels,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
De Cecco Integrale Linguine Pasta,2.4g,2.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Butterfly Grains Yellow Gram Chanadal,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
BUTTERFLY RICE KENYAN PISHORI,,0g,0g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Naturalli Pearl Barley Grain,,,,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,0
EXPLORE G F CHICKPEA FUSILLI,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Pasta Zara 49 Penne Rigate Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Nutrameal Polished Green Grams,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Pasta Zara Gnocchi Pasta,,0.9g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Riscossa Canneroni Rigati No 21 Pasta,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
ASANTA RICE LONG GRAIN,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Kings Daily Brand Njahi Beans,,10g,0.753g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,2
Amana Basmati Rice,,0.7g,0.00054g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Nutrameal Whole Wheat,,,,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,0
BUTTERFLY RICE BASMATI PREMIUM,,0g,0g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Granoro il Primo Cannelloni Pasta,2g,2g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
L Epi D Or Babboucha Shell Pasta,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Sunrice Thai Jasmine,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
L Epi D Or Coquillettes Shell Pasta,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Chia organic White Chia Seed,1g,9g,0.001g,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods,1
Argus Green Grams 25Ogms,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Butterfly Gold Basmati Rice,,0.5g,0.00075g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Nutrameal Polished Green Gram,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
BUTTERFLY RICE LONG GRAIN,0g,0g,0g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Carrefour Green Lentils,,,,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,0
Argus Popcorn Imported 250Gms,,,,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods,0
Nutrameal Sunflower Seeds,2g,51g,0.009g,DRIED FRUITS,RAISINS,Unprocessed/Minimally processed foods,1
SANTA MARIA PIPE RIGATE PASTA,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Granoro N.41 Gomiti Dedicato Pasta,3g,1.5g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Argus Green Grams 500Gms,,,,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods,0
Pasta Zara Chiffer Rigati Pasta,,1.2g,0.0037g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
224 Aromatic Rice,,,,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Guru Long Grain White Rice,,0.2g,0.004g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
S S Premium Basmati Rice,,,0.0017g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,0
Pasta Zara 50 Pennoni Rigati Pasta,,1g,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
