Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova,octagons
Treff Creams Sandwich Biscuits Orange,5g,,0.023g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
Treff Creams Sandwich Biscuits Strawberry,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Treff Creams Biscuits Choco Vanilla,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Treff Creams Sandwich Biscuits P A,26g,2.39g,0.671g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Treff Creams Sandwich Biscuits Mango,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Treff Creams Sandwich Biscuits Chocolate,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Fairy Bee Oat Choco Chocolate Biscuit,26g,2.39g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
Treff Cream Lemon Fresh Biscuit,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Sunveat Bourbon Chocolate Cream Biscuit,,4g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Treff Cream Flavoured Biscuit Choco Vanilla,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Parle Nice Biscuits 195.,24.9g,18.2g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Oreo Strawberry Biscuit,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Pran Bisk Club Chocolate Cream Biscuits,6g,6g,0.115g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
Treff Creams Sandwich Biscuits Vanilla,0g,44g,0g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
Treff Creams Biscuits Orange,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Oreo Chocolate Creme Flavoured Biscuits,40.6g,19.8g,0.555g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,3
Oreo Coca Cola Biscuit,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Lotte Pepero Original Sticks B,,,,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods,0
Lotte Pepero Choco Filed Stick B,,,,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods,0
Lotte Pepero White Cooking Stick B,,,,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods,0
Lotte Pepero Almond Stick B,,,,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods,0
Manji Milk Chocolate Chocolate Fingers Biscuit,37g,25g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Cadbury Dairy Milk Biscuit Chocolate Bar,50.5g,26.5g,0.122g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Carrefour Kids Biscuits Filled With Vanilla,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Carrefour Milk Chocolate Butter Biscuits,40g,22g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Carrefour Dark Chocolate Butter Biscuits,36g,23g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Golden Bourbon Cream Biscuits,4g,3g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Carrefour Xtrem Chocolate Hazelnut Filled Biscuits,38g,23g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Carrefour Zoo Mini Biscuit,12.8g,8.8g,0.1g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Carrefour Stick And Choc White Chocolate Finger Biscuits,38g,28g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Carrefour Biscuits Filled With Chocolate,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Mcvities Bn Strawberry Biscuit,32g,8.4g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Solen Papita Caramel Biscuits,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Ubisco Kreamy Biscuits Strawberry,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
UBISCO KREAMY BISCUITS CHOCO,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Bisconni Cocomo Chocolate Filled Biscuits,16g,19g,0.28g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,3
Manji Orange Cream Biscuits,,19g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
Parle Hide Seek Fab Orange Choco Chip Sandwich Cookies,39g,22g,,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods,2
Parle Hide Seek Fab Strawberry Choco Chip Sandwich Cookies,39g,22g,,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods,2
Hide Seek Fab Vanilla Biscuit,4g,2g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NuVita Salty Crackers,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NuVita Sweet Salty Crackers Biscuit,,16g,0.341g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Sweetunda Tomato Ketchup Crackies,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Sweetunda Fruit Chutny Crackies,6g,13g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Tropical Heat SuperFit Rice Cakes Unsalted,1.2g,0.7g,1.8g,SWEET AND SAVOURY SNACKS,BHUSU MIX,Processed foods,1
Sweetunda Chili Salt Crackies,1g,1g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Tropical Heat SuperFit Rice Cakes Salted,1.2g,0.7g,1.9g,SWEET AND SAVOURY SNACKS,BHUSU MIX,Processed foods,1
Pran Bisk Club Potato Spicy Biscuits,11g,8g,0g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
NuVita Dinner Crackers,1g,0g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NuVita Light Crisp Cream Crackers,1g,0g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NuVita Sweet Salty Crackers,,17g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
FAYAZ CHEESE CRACKERS,14g,24g,1.092g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,3
Ritz Cheese Sandwich Crackers,15.3g,28.3g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Manji Dinner Crackers Biscuit,,5g,0.011g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NUVITA CRACKERS CHEESE,,7g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Manji Salty Snack Biscuit,,4g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
CARRS TABLE WATER BITE ORIGINAL,1.6g,7.7g,0.6g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
CARRS TABLE WATER SESAME BISC,1.5g,9.7g,0.6g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
CARRS TABLE WATER CRACKED PEPPE,,1g,0.08g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Queen D Chedarpaprika Crackers,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Queen D Active Ch Crackers,2g,14g,0.76g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Queen D Rosemary Sage Crackers,3.3g,10g,0.9g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
The Cracker Shack Sesame Lavash Crackers,10g,12g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
The Cracker Shack Amaranth Crackers,,21g,1.9g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
The Cracker Shack Cheddar Crackers,,21g,1.9g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
The Cracker Shack Charcoal Crackers,,6g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
The Cracker Shack Rosemary Crackers,,21g,1.9g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
The Cracker Shack Gluten Free Fruit And Nut Crackers,,16g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
Queen Deli Itl Cantuci Crackers,39.1g,11.2g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
The Cracker Shack Original Gluten Free Oat And Amaranth Crackers,7g,26g,0.748g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,3
Rakusen S Gluten Free Cracker,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Snak It Salty Bikis,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Tropical Heat Snacks Masala Sticks,7.6g,35.8g,0.6g,SWEET AND SAVOURY SNACKS,BHUSU MIX,Ultra-processed foods,3
BlueBand Peanut Butter,,49g,0.482g,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods,2
Nuteez Smooth Peanut Butter,1g,7g,0.003g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,0
Nuteez Natural Crunchy Peanut Butter,,50g,,PEANUT BUTTER,PEANUT BUTTER,Processed foods,1
