Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Shark boiled in recipe (without salt and fat),PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods,false,
Shark grilled (without salt and fat),PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods,false,
Shark raw,PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods,false,
Shark steamed (without salt),PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods,false,
Shortening commercial vegetable fat,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,false,
Siro (Semolina Nuts),WHEAT FLOUR,SEMOLINA,Unprocessed/Minimally processed foods,false,
Sorghum Finger Millet and Maize Porridge,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MAIZE,Processed foods,false,
Sorghum Grain Red Dried Raw,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods,false,
Sorghum Grain Red Flour,WHEAT FLOUR,SORGHUM FLOUR,Unprocessed/Minimally processed foods,false,
Sorghum grain white dry raw,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods,false,
Sorghum grain white flour,WHEAT FLOUR,SORGHUM FLOUR,Unprocessed/Minimally processed foods,false,
Sorghum whole grain red dried boiled drained (without salt),CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods,false,
Sorghum whole grain red dried stewed drained (without salt),CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods,false,
Sorghum whole grain white dry boiled drained (without salt),CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods,false,
Sorghum whole grain white dry stewed drained (without salt),CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods,false,
Soya bean oil,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods,false,
Soybean dry raw,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods,false,
Soybean dry unsoaked boiled drained (without salt),"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods,false,
Soybean dry water soaked boiled in different water drained (without salt),"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods,false,
Spanish Omelette,EGGS,EGGS,Unprocessed/Minimally processed foods,false,egg dishes
Spice mixed or all spice,HERBS AND SPICES,SPICES - MIXED SPICES,Unprocessed/Minimally processed foods,false,
Spider plant leaves boiled drained (without salt),VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods,false,
Spider plant leaves raw,VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods,false,
Spider plant leaves steamed (without salt),VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods,false,
Spinach leaves boiled drained (without salt),VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Spinach leaves raw,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Spinach leaves stewed (without salt),VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Spinach Swiss chard leaves boiled drained (without salt),VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Spinach Swiss chard leaves raw,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Spinach Swiss chard leaves stewed (without salt),VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Squash butternut peeled flesh baked (without salt),VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods,false,
Squash butternut peeled flesh boiled drained (without salt),VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods,false,
Squash butternut peeled flesh raw,VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods,false,
Squash butternut peeled flesh steamed (without salt),VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods,false,
Steamed Rice,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,false,
Stewed Cowpea Leaves (Rhikhuvi),VEGETABLES,COWPEA LEAVES (KUNDE),Processed foods,false,
Stewed Dried Fish,PROCESSED FISH,OTHER FISH,Processed foods,false,
Stewed Goat Meat,PROCESSED MEAT,GOAT,Processed foods,false,
Stewed Green Bananas,FRUITS,GREEN BANANAS,Processed foods,false,
Stewed Guinea Fowl,POULTRY,GUINEA FOWL,Unprocessed/Minimally processed foods,false,
Stewed Kunde Mrenda (Cowpeas Leaves and Jute Mallow),VEGETABLES,JUTE MALLOW (MRENDA),Processed foods,false,
Stewed Mushrooms in Peanut Butter (Obwoba),COOKING SAUCES,PEANUT SAUCE,Processed foods,false,
Stewed Nile Perch,PROCESSED FISH,NILE PERCH,Processed foods,false,
Stewed Potatoes Arrowroots,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods,false,
Stewed Split Dal,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Processed foods,false,
Stinging nettle leaves boiled drained (without salt),VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods,false,
Stinging nettle leaves raw,VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods,false,
