Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Cabbage, leaf head, white, stewed (without salt)",82,20,93.3,1.2,0.1,2.4,2.4,0.7,50,0.5,10,43,336,40,0.25,1,tr,tr,0,tr,0.04,0.04,0.4,11,11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), green, raw",95,23,93.3,1.5,0.1,2.9,2,0.2,8,0.5,10,17,151,2,0.18,0,27,55,0,328,0.03,0.03,0.5,8,8,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), green, boiled, drained (without salt)",109,26,92.3,1.7,0.1,3.3,2.3,0.2,9,0.5,7,18,87,2,0.16,0,28,57,0,339,0.02,0.02,0.4,5,5,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), green, grilled (without salt and fat)",102,24,92.8,1.6,0.1,3.1,2.2,0.2,9,0.6,11,18,162,2,0.19,0,26,53,0,317,0.03,0.03,0.5,6,6,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), green, baked (without salt)",98,23,93,1.6,0.1,3,2.1,0.2,8,0.6,10,18,157,2,0.19,0,26,51,0,308,0.03,0.03,0.5,6,6,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), red, raw",110,26,92.4,1.7,0.2,3.5,1.8,0.4,4,0.3,6,24,174,2,0.2,1,21,41,0,246,0.04,0.05,1,52,52,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), red, boiled, drained (without salt)",127,30,91.3,2,0.2,4,2.1,0.5,4,0.3,4,25,100,2,0.17,1,21,42,0,254,0.03,0.04,0.7,30,30,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), red, grilled (without salt and fat)",118,28,91.8,1.8,0.2,3.8,1.9,0.4,4,0.3,6,26,187,2,0.22,1,20,40,0,238,0.04,0.05,1,39,39,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), red, baked (without salt)",115,27,92.1,1.8,0.2,3.6,1.9,0.4,4,0.3,6,25,181,2,0.21,1,19,38,0,231,0.04,0.05,1,38,38,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), yellow, raw",86,21,93.4,1.4,0.2,2.3,2.2,0.6,19,1,17,43,242,2,0,0,14,28,0,166,0.14,0.02,0.59,30,30,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
