Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",108,26,90.8,3.1,0.6,0.2,3.8,1.5,105,4,31,43,304,5,0.48,0,101,203,0,1215,0.04,0.14,0.6,35,35,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",99,24,91.6,2.8,0.5,0.2,3.5,1.4,96,3.9,42,42,472,5,0.52,0,92,185,0,1109,0.04,0.18,0.6,38,38,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kale (sukuma wiki) raw,121,29,89.2,3,0.3,1.2,4.7,1.6,402,2.8,41,67,238,71,0.5,0,177,355,0,2127,0.11,0.13,1,62,62,0,134,0,18,0,0,0,0,0,160,250,190,29,40,220,125,165,36,220,175,62,185,360,430,180,165,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kale (sukuma wiki), boiled, drained (without salt)",115,28,89.7,2.9,0.3,1.2,4.4,1.5,364,2,23,57,113,51,0.34,0,152,304,0,1823,0.07,0.08,0.6,30,30,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kale (sukuma wiki), steamed (without salt)",105,25,90.6,2.6,0.3,1.1,4.1,1.4,332,2,32,55,176,53,0.37,0,139,277,0,1665,0.08,0.1,0.7,33,33,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leeks, bulb and stem, raw",229,54,84.5,1.7,0.4,9.5,3.1,0.8,78,1.8,14,54,202,17,0.3,1,20,40,0,242,0.14,0,0,64,64,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leeks, bulb and stem, boiled, drained (without salt)",276,66,81.4,2,0.5,11.4,3.7,1,90,1.6,10,58,110,11,0.27,1,22,44,0,262,0.12,0.07,0.3,39,39,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lettuce, not further defined, raw",73,17,94.4,1.2,0.2,1.9,1.6,0.7,47,1.6,24,55,201,20,0.26,1,107,214,0,1285,0.08,0.05,0.26,66,66,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mushroom, fresh, raw",148,35,89.7,2.3,0.4,4.5,2.3,0.9,16,0.3,15,105,318,8,0.17,16,0,0,0,0,0.1,0.4,0.7,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mushroom, fresh, boiled, drained (without salt)",203,48,85.9,3.2,0.5,6.1,3.1,1.2,21,0.3,12,129,218,8,0.17,20,0,0,0,0,0.09,0.36,0.6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mushroom, fresh, stewed (without salt)",183,43,87.3,2.8,0.5,5.5,2.8,1.1,20,0.4,19,130,393,10,0.21,20,0,0,0,0,0.11,0.47,0.8,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mushroom, dried, raw      ",1180,283,11.9,12.3,2.9,32.4,39.1,1.4,24,5.5,136,702,326,5,8.7,0,0,0,0,0,0.24,0.17,3.77,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mushroom, dried, boiled, drained (without salt)",674,162,49.6,7,1.6,18.5,22.4,0.8,14,2.3,47,361,93,3,3.72,0,0,0,0,0,0.09,0.06,1.4,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mushroom, raw, canned in brine (drained)",73,18,93,1.5,0.4,0.2,3.7,1.2,4,1,4,54,24,300,0,16,4,7,0,42,0.23,0.05,1.3,22,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Okra, fresh, raw       ",136,32,90,2,0.2,3.5,3.7,0.7,81,0.8,57,63,303,8,0.6,1,9,19,0,112,0.1,0.06,1,88,88,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Okra, fresh, boiled, drained (without salt)",123,29,90.5,1.8,0.2,4.1,3.4,0.6,70,0.5,31,52,138,5,0.41,1,8,15,0,91,0.05,0.04,0.6,40,40,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Okra, fresh, stewed (without salt)",147,35,88.7,2.2,0.2,6.1,4,1.8,84,0.7,56,65,280,7,0.59,1,9,18,0,109,0.08,0.06,0.9,57,57,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumpkin, flesh, yellow w/o seeds, raw",134,32,90.3,1.2,0.2,5.2,2.4,0.7,17,0.2,12,31,178,14,0.21,1,126,252,0,1512,0.07,0.06,0.78,50,50,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",146,35,89.5,1.3,0.2,5.6,2.6,0.8,18,0.2,8,30,97,11,0.17,0,123,246,0,1479,0.05,0.04,0.5,27,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",119,28,91.4,1.1,0.2,4.6,2.1,0.7,15,0.2,11,27,157,12,0.19,0,100,201,0,1204,0.06,0.05,0.7,31,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumpkin, leaves, raw",156,37,87.3,4.2,0.7,2.2,2.3,3.2,383,5.6,142,119,423,12,0.9,1,141,283,0,1695,0.07,0.12,1.49,36,36,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumpkin, leaves, boiled, drained (without salt)",148,35,87.9,4,0.7,2.1,2.1,3.1,347,4,81,102,201,9,0.64,1,121,242,0,1453,0.04,0.07,0.9,17,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumpkin, leaves, steamed (without salt)",135,32,89,3.7,0.6,1.9,2,2.8,316,3.9,111,98,313,9,0.7,1,111,221,0,1327,0.05,0.09,1,19,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spider plant, leaves, raw",180,43,85,4.8,0.8,2.1,4.3,3,189,2.6,48,49,478,19,0.76,2,217,434,0,2603,0.1,0.12,1.3,346,346,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spider plant, leaves, boiled, drained (without salt)",172,41,85.7,4.6,0.7,2,4.1,2.9,171,1.9,27,42,228,13,0.54,2,186,372,0,2231,0.06,0.07,0.8,165,165,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spider plant, leaves, steamed (without salt)",157,38,86.9,4.2,0.7,1.9,3.8,2.6,156,1.8,37,40,353,14,0.59,1,170,339,0,2037,0.07,0.09,0.9,181,181,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, leaves, raw",112,27,89.8,2.8,0.4,1.1,4.1,1.8,131,1.7,72,28,570,59,1,1,189,377,0,2260,0.03,0.18,0.4,110,110,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, leaves, boiled, drained (without salt)",118,28,89.3,2.9,0.4,1.2,4.3,1.9,131,1.4,45,27,300,46,0.47,0,179,357,0,2140,0.02,0.12,0.3,58,58,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, leaves, stewed (without salt)",139,33,87.4,3.5,0.4,1.4,5.1,2.2,161,2.1,89,35,704,72,0.74,1,209,419,0,2510,0.03,0.21,0.5,95,95,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, Swiss chard, leaves, raw",102,25,90.3,3.1,0.2,0.7,3.6,2,117,4.4,78,50,348,892,0.73,1,190,380,0,2280,0.03,0.1,0.6,121,121,0,24,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, Swiss chard, leaves, boiled, drained (without salt)",108,26,89.8,3.3,0.2,0.8,3.8,2.1,117,3.5,49,47,183,704,0.58,1,180,360,0,2160,0.02,0.07,0.4,64,64,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, Swiss chard, leaves, stewed (without salt)",126,30,88,3.9,0.3,0.9,4.5,2.5,144,5.4,96,62,430,1101,0.9,1,211,422,0,2530,0.03,0.12,0.7,105,105,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Squash, butternut, peeled, flesh, raw",182,43,87.3,1.5,0.1,7.8,2.5,0.8,18,1,16,19,332,7.7,0.2,1,160,320,0,1920,0.07,0.06,1.02,31,31,0,8,0,0,0,0,0,0,0,56,81,53,17,13,56,48,43,20,62,90,27,60,230,185,53,52,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Squash, butternut, peeled, flesh, boiled, drained (without salt)",204,48,85.7,1.6,0.1,8.8,2.8,0.9,19,0.8,11,20,186,7,0.16,1,162,324,0,1940,0.05,0.04,0.7,18,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Squash, butternut, peeled, flesh, steamed (without salt)",204,48,85.7,1.6,0.1,8.8,2.8,0.9,19,0.9,16,21,317,7,0.2,1,162,324,0,1940,0.06,0.06,0.9,21,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Squash, butternut, peeled, flesh, baked (without salt)",214,51,85.1,1.7,0.1,9.2,2.9,1,21,1.2,19,23,390,9,0.23,1,169,339,0,2030,0.07,0.06,1.1,26,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stinging nettle, leaves, raw",248,59,80,5.4,0.7,6.7,2.1,4.9,668,7.2,133,122,524,36,1,2,2,3,0,0,0.04,0,1,457,457,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stinging nettle, leaves, boiled, drained (without salt)",237,56,81.1,5.1,0.7,6.4,2,4.7,604,5.2,76,105,250,26,0.49,2,0,0,0,0,0.02,0.19,0.7,218,218,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stinging nettle, leaves, steamed (without salt)",216,51,82.8,4.7,0.6,5.8,1.8,4.3,552,5,104,101,387,27,0.54,2,0,0,0,0,0.03,0.24,0.7,238,238,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Potato (Leaves),150,36,87.6,4.3,0.5,0.8,5.3,1.4,118,1,61,30,620,6,0.29,1,189,378,0,2270,0.1,0.35,1.1,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomato, green, raw",95,23,93.2,1.1,0.2,3.3,1.6,0.6,8,0.4,14,23,225,13,0.2,8,3,5,0,32,0.08,0.1,0.5,9,9,0,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomato, green, boiled, drained (without salt)",121,29,91.3,1.4,0.3,4.2,2.1,0.8,10,0.4,10,26,144,13,0.15,10,3,6,0,37,0.07,0.04,0.4,6,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomato, red, ripe, raw",92,22,93.6,1,0.2,3.3,1.4,0.5,8,0.9,9.5,25,126,21,0.37,0,26,53,0,316,0.04,0.04,0.5,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomato, red, ripe, boiled, drained (without salt)",118,28,91.8,1.3,0.3,4.2,1.8,0.7,10,0.8,7,28,81,20,0.35,0,30,61,0,365,0.04,0.04,0.5,16,16,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomato, canned, whole contents",84,20,94,1,0.1,3.1,1.3,0.5,22,0.6,11,20,204,68,0.16,1,28,56,0,334,0,0,0.6,26,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vine (African) spinach, picked leaves, raw",117,28,90.4,3.4,0.7,0.2,3.7,1.6,267,10.9,40,56,446,8,0.5,0,184,369,0,2210,0.1,0.2,0.9,71,71.3,0,79.8,0,278,0,0,0,0,0,140,230,215,tr,tr,195,125,135,0,175,185,70,165,275,370,180,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vine (African) spinach, picked leaves, boiled, drained (without salt)",123,30,89.9,3.6,0.7,0.2,3.9,1.7,267,8.6,25,53,234,6,0.36,0,175,349,0,2100,0.04,0.14,0.6,38,38,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apple, green skin, unpeeled, raw",231,55,85,0.3,0,12.2,2.4,0.2,6,0.4,4,10,99,2,0.07,1,1,2,0,11,0.025,0.01,0.1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apple, red, unpeeled, raw",239,57,84.6,0.3,0.1,12.4,2.3,0.25,6,0.3,4,9,100,1,0.07,1,1,2,0,14,0.02,0.01,0.13,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avocado, ripe, raw",761,185,74,1.6,19.6,0,4,1.9,19,1,25,41,281,7,0.39,0,2,5,0,27,0.07,0.15,1.8,67,67,0,14,0,0,0,0,0,0,0,65,85,80,26,25,67,42,65,16,85,60,38,75,155,150,85,70,85,18.74,0,0,18.74,3.28,13.5,1.91,0.01,0,0,0,0,0,0,0,0,0,0,0,0.13,1.79
"Banana, cavendish, raw",402,95,74.4,1.08,0.3,20.6,2.75,0.9,10,0.3,26,37,187,0,0.36,0,5,9,0,56,0.05,0.05,0.35,22,22,0,4,0,0,0,0,0,0,0,34,85,50,11,17,55,25,35,12,75,48,84,40,130,115,38,41,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baobab fruit, powderly part, dry, raw",1335,315,13.1,2.3,0.4,72.2,6.8,5.2,283,5,108,56,1613,56,0.88,24,0,0,0, tr,0.04,0.2,1.5,50,50,0,13.7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Custard apple, peeled, raw",386,92,75,1.7,0.7,17,5.1,0.8,28,0.4,38,22,278,3,0,0,0,0,0,0,0.07,0.13,0.7,37,37,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Date, dried",1292,305,17.2,2.4,0.2,68.7,9.7,1.9,82,2.6,50,72,730,14,0.6,3,2,4,0,23,0.03,0.13,1.4,19,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Date, raw",645,152,60.2,1.6,0.1,35.3,1.8,1,34,0.3,24,28,410,7,0.2,1,2,3,0,20,0.06,0.07,0.7,25,25,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doumpalm fruit, raw",1180,280,17.6,2.8,0.7,58.3,14.8,5.9,73,18,53,45,862,0.47,3.4,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grapes, green, raw",302,71,80.7,0.6,0.1,16,2,0.6,14,0.3,7.1,24,171,3,0.1,0,2,5,0,29,0.03,0.03,0.2,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guava, pink-fleshed, raw",196,48,80.7,1.1,1.1,0.9,15.5,0.8,20,0.4,18,31,334,1,0.26,0,22,45,0,267,0.06,0.05,0.6,16,16,0,222,0,42,0,0,0,0,0,43,70,30,10,11,17,29,41,8,53,36,20,60,135,235,100,62,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackfruit, fruit, yellow-fleshed, peeled, raw",403,95,73.2,1.4,0.2,20.5,2.8,1.9,35,0,32,23,279,2,0.76,0,7,15,0,90,0.07,0.13,0.7,19,19,0,7,0,0,0,0,0,0,0,49,95,47,8,7,63,85,61,9,73,45,23,87,371,130,76,85,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemon, juice, home squeezed",198,47,87,0.6,0.2,9.5,2.5,0.25,20,0.3,12,10,120,2,0,0,1,2,0,10,0.02,0.01,0.2,11,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemon peel, raw",213,52,81.6,1.5,0.3,5.4,10.6,0.6,134,0.8,15,12,160,6,0.25,1,3,5,0,30,0.06,0.08,0.4,13,13,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemon, pulp, raw",155,37,89.5,0.82,0.2,6.7,2.5,0.3,33,0.3,15,16,120,2,0.1,0,1,2,0,10,0.03,0.02,0.2,11,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lime, juice",125,30,90.3,0.7,0.2,4.3,4.1,0.4,26,0.3,11,20,150,3,0,0,2,5,0,28,0.03,0.02,0.2,6,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lime, pulp, raw",178,42,87.1,0.7,0.2,7.4,4.1,0.6,22,0,11,20,150,3,0.1,0,3,5,0,31,0.02,0.03,0.2,8,8,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loquat, peeled, raw",214,51,84.6,0.62,0.2,9.5,4.51,0.7,13,0.5,13,20,180,2,0.22,0,45,89,0,537,0.02,0.04,0.3,14,14,0,4.1,0,0,0,0,0,0,0,25,43,38,7,10,23,21,25,8,35,23,12,40,60,60,33,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango, ripe, raw",272,64,83,0.6,0.3,14,1.6,0.5,14,0.2,9,17,186,1,0.14,1,92,184,0,1105,0.03,0.04,0.6,54,54,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango, unripe, raw",192,45,86.7,0.8,0.1,8.9,3,0.6,27,0.4,18,15,147,26,0.09,0,7,13,0,78,0.02,0.03,0.26,26,26,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mulberry, raw",148,35,89.5,1.6,0.2,5.6,2.2,0.9,55,1.2,19,40,310,6,0.2,1,1,2,0,10,0.03,0.07,0.7,33,33,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orange, Juice",77,18,94.6,0.4,0.1,3.6,1.1,0.4,21,0.7,11,20,146,2,0.08,0,3,7,0,42,0.06,0.02,0.1,44,44,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orange, pulp, raw",176,42,87.6,0.9,0.2,7.5,3.1,0.7,23,0.2,10,13,165,5,0.05,0,5,9,0,57,0.04,0.03,0.2,52,52,0,45,0,19,0,0,0,0,0,23,22,44,19,10,28,15,14,9,37,60,16,47,125,70,88,55,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
