Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
De Cecco Alla Siciliana Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
DE NIGRIS S BALSAMC GLAZE FIGFL,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Desiam Chilli Pineapple Thai Dipping Sauce,TABLE SAUCES,DIPPING SAUCE,Ultra-processed foods,false,new subclass: DIPPING SAUCE
Desiam Thai Green Curry Paste,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,false,new subclass: CURRY SAUCE/PASTE
Desiam Thai Seasoning Oyster Sauce,COOKING SAUCES,OYSTER SAUCE,Ultra-processed foods,false,new subclass: OYSTER SAUCE
Desiam Yellow Thai Curry Paste,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,false,new subclass: CURRY SAUCE/PASTE
DORMANS INSTANT FINE,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Ultra-processed foods,false,"Dormans instant coffee, fine grind"
DORMANS MOJITO SYRUP,TABLE SAUCES,SYRUP,Ultra-processed foods,false,Dormans flavoured drink syrup; moved from COFFEE
Duerr s Mint Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
El Sabor Hot Salsa Dip,TABLE SAUCES,SALSA/GUACAMOLE,Ultra-processed foods,false,new subclass: SALSA/GUACAMOLE
Eva Black Seeds,HERBS AND SPICES,SPICES - KALONJI/BLACK SEEDS,Unprocessed/Minimally processed foods,false,new subclass: SPICES - KALONJI/BLACK SEEDS
Eva Fenugreek Spice,HERBS AND SPICES,SPICES - FENUGREEK,Unprocessed/Minimally processed foods,false,new subclass: SPICES - FENUGREEK
Eva Hibiscus Whole Spice,HERBS AND SPICES,SPICES - HIBISCUS,Unprocessed/Minimally processed foods,false,new subclass: SPICES - HIBISCUS
Eva Kamande,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,false,kamande = Swahili for lentils
Eva Moringa Spice,HERBS AND SPICES,SPICES - MORINGA,Unprocessed/Minimally processed foods,false,new subclass: SPICES - MORINGA
Eva Njahi Beans,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,false,
Eva Premium Saffron,HERBS AND SPICES,SPICES - SAFFRON,Unprocessed/Minimally processed foods,false,
Eva Premium Zaatar,HERBS AND SPICES,SPICES - ZAATAR,Unprocessed/Minimally processed foods,false,new subclass: SPICES - ZAATAR
Eva Soya Beans,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods,false,new subclass: SOYA BEANS
Eva Whole Oregano Spice,HERBS AND SPICES,HERBS - OREGANO,Unprocessed/Minimally processed foods,false,new subclass: HERBS - OREGANO
Eva Yellow Beans,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,false,new subclass: YELLOW BEANS
FENG QUI MAI FISH SAUCE,COOKING SAUCES,FISH SAUCE,Ultra-processed foods,false,moved from TABLE SAUCES
FESTIVA CAESAR DRESSING,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
FESTIVA FRENCH DRESSING,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,
Festiva Italian Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,
Festiva Pasta Sauce Italian,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Festiva Yellow Mustard,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
