product_name,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,fibre_g,sodium_g,sub_type,form
DAAWAT BASMATI RICE,365,1527,7.1,80,,0.7,1.8,0.00054,Rice,Solid
DAAWAT BLACK BEANS NJAHI,,,,,,,,,,
DAAWAT DELI BASMATI RICE,356,1489.5,8,76,0,1,0,0,Rice,Solid
DAAWAT LENTILS KAMANDE,,,,,,,,,,
DAAWAT LONG GRAIN RICE,129.747,542.405,2.72152,28.481,0.0632911,0.253165,0.379747,0.00101266,Rice,Solid
DAAWAT PARBOILED RICE,347,1451,9,78,,1,,,Rice,Solid
DAAWAT PULSES GREEN GRAMS,,,,,,,,,,
DAAWAT ROYAL BASMATI RICE,348,1456,8.2,78,,0.5,1.8,0.00075,Rice,Solid
DAAWAT SPAGHETTI BLUE LABEL,354,1481.14,11,73,3,1,2,0.001,Spaghetti,Solid
DAAWAT SPAGHETTI BLUE LABEL 2+1,,,,,,,,,,
DAAWAT TRADITIONAL BASMATI RICE,350,1464,8.8,78,,,1.8,0.0017,Rice,Solid
DAAWAT YELLOW BEANS,,,,,,,,,,
DAIRYLAND ALMOND AND RAISIN CHOCOLATE BAR,513,2146.39,10,44.8,41.4,33.6,,0.095,Chocolate Bar,Solid
DAIRYLAND BERRY BLISS CHOCOLATE,,,,,,,,,,
DAIRYLAND CHOCOLATE DESSERT TOPPING SAUCE,,,,,,,,,Sauce,Liquid
DAIRYLAND CHOCOLATE SPREAD,549,2294.82,6.4,52.6,51.6,34.2,2.9,0.05,Spread,Paste
DAIRYLAND DARK COMPOUND CHOCOLATE BAR,565,2363.96,3,50,45,37,,0.049,Chocolate Bar,Solid
DAIRYLAND DARK MILK CHOCOLATE BAR,574,2401.62,6.7,54.6,48.5,36.5,,0.065,Chocolate Bar,Solid
DAIRYLAND DIP A CHOCOLATE DIP BISCUIT SNACK,912.6,3817.6,11.59,111.3,105.63,,,0.05954,Biscuit Snack,
DAIRYLAND DOUBLE CHOCOLATE,,,,,,,,,,
DAIRYLAND DRINKING CHOCOLATE,,,,,,,,,,
DAIRYLAND DRINKING CHOCOLATE JARS,,,,,,,,,,
DAIRYLAND F MINT CHOCOLATE,,,,,,,,,,
DAIRYLAND FILLED MINT CHOCOLATE,,,,,,,,,,
DAIRYLAND HAZELNUT CHOCOLATE BAR,375,1569,22.5,45,27.5,17.5,15,0.2,Chocolate Bar,Solid
DAIRYLAND MILK COMPOUND CHOCOLATE BAR,170,711.28,9,26,26,2,,,Chocolate Bar,Solid
DAIRYLAND MILK WITH COOKIES CHOCOLATE BAR,576.923,2413.85,7.69231,50,38.4615,38.4615,3.84615,0.115385,Chocolate Bar,Solid
DAIRYLAND ORANGE CRUNCH CHOCOLATE,531,2211,6.9,46,44,34,,8.00E-06,Chocolate,Solid
DAIRYLAND ORANGE CRUNCH CHOCOLATE BAR,558,2328,5.6,53.5,51.4,35.3,2.3,,Chocolate Bar,Solid
DAIRYLAND REAL MILK CHOCOLATE,531,2221,3.1,57.3,56,23,,,Milk Chocolate,Solid
DAIRYLAND REAL MILK CHOCOLATE BAR,523,2188.23,8.1,60.5,57.3,28.9,2.1,0.156,Chocolate Bar,Solid
DAIRYLAND REAL WHITE CHOCOLATE,560,2343.04,10,52,50,32,0,0.104,Chocolate,Solid
DAIRYLAND SALTED CARAMEL CHOCOLATE BAR,483,2023,4.8,62,48,24,1.3,,Chocolate Bar,Solid
DAIRYLAND WHITE COMPOUND CHOCOLATE BAR,328,1372.35,1,40,40,40,,0.006,Chocolate Bar,Solid
DAIRYLAND WHITE WITH COOKIES CHOCOLATE BAR,538,2250.99,12,50,48,32,,0.146,Chocolate Bar,Solid
DASANI STILL WATER,,,,,,,,,Water,Liquid
DASH BRITISH LEMON SPARKLING WATER,2,8,0,0.5,0,0,,,Sparkling Water,Liquid
DASH SPARKLING WATER CUCUMBER NAS,0.5,0,2,100,,,0,,Food,Cucumber
DE BRON LESS CALORIES BEARS JELLY,201,841,6.1,73,0,0.2,,,Bears Jelly,Jelly
DE BRON SUGAR FREE CARIBBEAN MIX CANDY,292,213,0.5,83.2,0.2,10,,,Candy,Solid
DE CECCO ALLA ARRABBIATA SAUCE,60,251.04,1.6,6.4,5.6,2.8,1.3,,Arrabbiata Sauce,Paste
DE CECCO ALLA GENOVESE PESTO,,,,,,,,,,
DE CECCO ALLA SICILIANA SAUCE,59,245,1.3,5.2,4.2,3.1,2.6,,Siciliana Sauce,Paste
DE CECCO CLASSIC CREAMY TOMATO PASSATA,31,129,1.5,5.1,4.5,0.1,1.6,,Tomato Passata,Paste
DE CECCO FETTUCCELLE NO 6 PASTA,352,1472.77,14,69.2,3.4,1.5,4.00E-05,,Pasta,Solid
DE CECCO FUSILLI PASTA,351,1468.58,14,69,3,1,,,Pasta,Solid
DE CECCO INTEGRALE LINGUINE PASTA,343,1453,15,61,2.4,2.5,,,Pasta,Solid
DE CECCO LINGUINE PASTA,351,1468.58,14,69,3,1,,,Pasta,Solid
DE CECCO NO.12 SPAGHETTI,351,1468.58,14,69,3.4,1.5,2.9,,Spaghetti,Solid
DE CECCO NO.23 TORTIGLIONI PASTA,358,1497.87,14,72,3,1,,,Pasta,Solid
DE CECCO PASTA ALFABETO,,,,,,,,,,
DE NIGRIS B/WHITE WINE VINEGAR,19,80,,0.2,,,,,Vinegar,Liquid
DE NIGRIS GRAPE RED WINE VINEGAR,19,80,,0.2,,,,,Vinegar,Liquid
DE NIGRIS MODENA BALSAMIC VINEGAR,88,368.19,0.5,17,15,,,0.023,Vinegar,Liquid
DE NIGRIS ORGANIC APPLE CIDER VINEGAR,70,292.88,,0.3,0.1,,,,Vinegar,Liquid
DE NIGRIS ORGANIC RED WINE VINEGAR,3,12.55,,,,,,,Vinegar,Liquid
DE NIGRIS ORGANIC WHITE WINE VINEGAR,,,,,,,,,Wine Vinegar,Liquid
DE NIGRIS ORIGINAL CLASSIC GLAZE BALSAMIC VINEGAR,88,368.19,0.5,17,15,,,0.023,Vinegar,Liquid
DE NIGRIS ROSE SWEET VINEGAR,,,,,,,,,,
DE NIGRIS S BALSAMC GLAZE FIGFL,,,,,,,,,,
DE NIGRIS SPICY BALS GLAZE,,,,,,,,,,
DE NIGRIS WHITE ITALIAN CONDIMENT,,,,,,,,,,
DEBRON CANDY FRUIT-TOFFEE S/FREE,294,1230.1,0.5,83,0.5,10,,,Toffee,Solid
DEBRON CANDY SWT LICORICE S/FRE,239,1002,0.4,85.1,0.3,0.2,,,Candy,Solid
DEE THAI SWEETCHILLI SAUCE,,,,,,,,,,
DEL MONTE CRANBERRY APPLE,,,,,,,,,Juice,Liquid
DEL MONTE JUICE BLEND MANGO,,,,,,,,,Juice,Liquid
DEL MONTE JUICE BLEND MIXED BERRY,,,,,,,,,Juice,Liquid
DEL MONTE JUICE BLEND ORANGE,56,234.304,,13,13,,,,Juice,Liquid
DEL MONTE JUICE BLEND PASSION,,,,,,,,,Juice,Liquid
DEL MONTE JUICE BLEND PINEAPPLE MANGO,52,217.568,,12,4,,,,Juice,Liquid
DEL MONTE ORANGE JUICE,,,,,,,,,Juice,Liquid
DEL MONTE PINEAPPLE AND PASSION BLENDED JUICE,,,,,,,,,Juice,Liquid
DEL MONTE PINEAPPLE BLEND JUICE,,,,,,,,,Juice,Liquid
DEL MONTE PINEAPPLE GOLD JUICE,51,219,0.3,12.1,12.1,,,,Pineapple Juice,Liquid
DEL MONTE PINEAPPLE JUICE,53,242,0.1,13.6,13.3,0.13,0.21,0.00209,Pineapple Juice,Liquid
DEL MONTE PINEAPPLE MANGO,58,2474,0.3,14,14,,,,Fruit Juice,Liquid
DEL MONTE PINEAPPLE ORANGE,47,196.648,0.1,11.9,11.8,,,,Fruit Juice,Liquid
DEL MONTE PINEAPPLE ORANGE JUICE BLEND,,,,,,,,,Juice,Liquid
DEL MONTE PINEAPPLE PASSION,20,83.68,0.1,3,3,,,,Fruit Juice,Liquid
DEL MONTE PURE APPLE JUICE,45,188.28,0.1,11.4,10.8,,,,Apple Juice,Liquid
DEL MONTE TROPICAL BLEND JUICE,,,,,,,,,Juice,Liquid
DEL MONTE TROPICAL FRUIT,57,240,0.2,13.4,13.4,,,,Tropical Juice,Liquid
DEPY'S FRIED PEANUTS,600,2510.4,24,12,,48,,0.832,Fried Peanuts,Solid
DEPY'S NUTS CHEVDA,512,5142,8,55.5,15,28.62,1.3,0.78,Chevda,Solid
DEPY'S SUGAR FREE NUTS CHEVDA,512,5142,8,55.5,,28.62,1.3,0.78,Chevda,Solid
DEPYS CHEESE AND ONION POTATO CRISPS,584,2292.83,4,44,,42,4,,Potato Crisps,Solid
DEPYS CHEESE AND ONION POTATO CRISPS CHIPS,,,,,,,,,Potato Crisps Chips,Solid
DEPYS FOIL TOMATO POTATO CRISPS,300,1255.2,10,30,10,15,5,1.4,Potato Crisps,Solid
DEPYS MATOKE CRISPS,104,435.136,1.11111,26.8889,12.6667,0.222222,2,0.00422222,Crisps,Solid
DEPYS SALT AND VINEGAR POTATO CRISPS,531.111,2222.16,4.44444,48.8889,2.22222,31.1111,4.44444,0.795556,Potato Crisps,Solid
DEPYS SALTED POTATO CRISPS,470,1966.48,6,63,,20,,0.001,Potato Crisps,Solid
DEPYS TOMATO POTATO CRISPS,300,1255.2,10,30,10,15,5,1.4,Potato Crisps,Solid
DESI TREAT ITALIAN SOYA TIKKA,120,,13,11,2,1.5,3,0.26,,
DESI TREAT PERI PERI SOYA TIKKA,120,,13,11,11,1.5,3,0.26,,
DESI TREAT SARSO DA SAAG,,,,,,,,,,
DESIAM CHILLI PINEAPPLE THAI DIPPING SAUCE,180,752,0.2,43.6,41.4,0.4,0.9,,Sauce,Paste
DESIAM THAI GREEN CURRY PASTE,131,550,2.8,9.2,5.3,7.8,7,,Curry Paste,Paste
DESIAM THAI SEASONING OYSTER SAUCE,152,637,4.4,32.9,28,0.1,,,Sauce,Paste
DESIAM YELLOW THAI CURRY PASTE,283,1182,5,15,5.3,21,8.7,,Curry Paste,Paste
DIABLO NAS CH CHIP&CBRY COOKIE,,,,,,,,,,
DIABLO SUGAR FREE STRAWBERRY AND CREAM SWEETS CANDY,292,1222,0.1,86.9,0.5,9.1,,,Candy,Solid
DOCILE CANUDINHO TUTTI FRUTTI CANDY,50,0,344,100,0,0,,,Food,
DOLA CHAPATI FLOUR,333,1393.27,13,73,,1,,,Chapati Flour,Powder
DOLA GOLD SUPERIOR MAIZE FLOUR,370,1548.08,7,79,1.6,1.8,,0.007,Maize Flour,Powder
DOLA MAIZE MEAL,361,1510,7,77,1,4,7.3,0.005,Maize Flour,Powder
DOLA VEGETABLE COOKING OIL,,,,,,,,,Cooking Oil,Liquid
DOMEE EGG NOODLES BROAD,,,,,,,,,,
DONG PO SESAME OIL,884,3698.66,0,0,0,100,0,0,Sesame Oil,Liquid
DORMANS 3-IN-1 IRISH CREAM COFFEE MIX,82,350,15,4.5,,0.5,,,Coffee Mix,Solid
DORMANS 3IN1 IRISH CREAM COFFEE MIX X OF,82,350,15,4.5,,0.5,,,Coffee Mix,Solid
DORMANS AA BLUE MOUNTAIN DRIP COFFEE BAG,,,,,,,,,,
DORMANS AA BLUE MOUNTAIN FINE GROUND COFFEE,,,,,,,,,ground coffee,solid
DORMANS AA BLUE MOUNTAIN KENYA COFFEE BEANS,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Beans,Solid
DORMANS AA BLUE MOUNTAIN MEDIUM GROUND COFFEE,,,,,,,,,grounded coffee,solid
DORMANS ARABICA DARK FINE GROUND COFFEE,,,,,,,,,Coffee,Powder
DORMANS ARABICA MEDIUM COFFEE BEANS,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Beans,Solid
DORMANS ARABICA MEDIUM ROAST DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,Coffee Beans,Solid
DORMANS ARABICA RICH AND TRADITIONAL MEDIUM ROAST AND FINE GROUND COFFEE,,,,,,,,,ground coffee,solid
DORMANS ARABICA RICH TRADITIONAL KENYA COFFEE,2,8.36,0.5,0.1,0.1,0.1,0.7,1.00E-05,Coffee,Powder
DORMANS BREAKFAST DARK CHOCOLATE COFFEE BEANS,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Beans,Solid
DORMANS BREAKFAST DELICATELY BALANCED KENYA COFFEE,,,,,,,,,Coffee,Powder
DORMANS BREAKFAST DELICATELY BALANCED MEDIUM FINE KENYA COFFEE,,,,,,,,,Coffee,Powder
DORMANS BREAKFAST DELICATELY BALANCED MEDIUM GROUND KENYA COFFEE,,,,,,,,,Coffee,Powder
DORMANS BREAKFAST MEDIUM COFFEE BEANS,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Beans,Solid
DORMANS CLASSIC 3-IN-1 COFFEE MIX,363,1519,22.5,68.2,39.4,,23.8,,Coffee Mix,Solid
DORMANS CLASSIC 3IN 1 INSTANT COFFEE MIX X OF,304,1276,22.6,40.2,0.5,0.5,23.7,0.03655,Instant Coffee Mix,Powder
DORMANS COFFEE HOUSE DRIP COFFEE BAGS,,,,,,,,,,
DORMANS COFFEEHOUSE DARK ROAST FINE GRIND COFFEE,,,,,,,,,Coffee,Powder
DORMANS COFFEEHOUSE DARK/FINE,,,,,,,,,Coffee,Powder
DORMANS COFFEEHOUSE DARK/MED,,,,,,,,,ground coffee,solid
DORMANS COFFEEHOUSE FINE MEDIUM ROAST MEDIUM GRIND COFFEE,,,,,,,,,Coffee,Powder
DORMANS COFFEEHOUSE MED/MED,,,,,,,,,Coffee,Powder
DORMANS COFFEEHOUSE MED/MEDIUM,,,,,,,,,Coffee,Powder
DORMANS CONTINENTAL DARK CHOCOLATEY DARK ROAST MEDIUM GROUND COFFEE,1,4.184,,0.1,,,,,Ground Coffee,Powder
DORMANS CONTINENTAL DARK FINE,2.4,10.0416,,0,0,0,,0.0047,Grounded coffee,solid
DORMANS CREAMER COFFEE STICK X 36 PIECES,82,350,15,4.5,,0.5,,,Coffee Stick,Solid
DORMANS CREAMER STICK X OF,15,62.76,0,1,0,1,0,0,Creamer Stick,Powder
DORMANS DECAF COFFEE CAPSULES X 25 PIECES,2.4,10.0416,0.3,0,0,0,0,0.0047,Coffee capsule,solid
DORMANS DECAF DRIP COFFEE BAGS,,,,,,,,,,
DORMANS DECAF INSTANT COFFEE,50,209.2,5,15,,,,0.2,Instant Coffee,Powder
DORMANS DECAFFEINATED FINE GRIND DARK ROAST COFFEE,2,8,0,0,0,0,0,0.004,ground coffee,solid
DORMANS DECAFFEINATED MEDIUM GRIND DARK ROAST COFFEE,2,8,0,0,0,0,,0.004,ground coffee,solid
DORMANS DECAFFEINATED MEDIUM GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,Coffee Beans,Solid
DORMANS ESPRESSO CAPSULES 5GX25,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Capsules,Solid
DORMANS ESPRESSO INTENSE AND BOLD DARK AND MEDIUM KENYA COFFEE,2,8.36,0.5,0.1,0.1,0.1,0.7,1.00E-05,Coffee,Powder
DORMANS ESPRESSO INTENSE AND BOLD DARK ROAST FINE GRIND KENYA COFFEE,,,,,,,,,ground coffee,solid
DORMANS ESPRESSO INTENSE AND BOLD KENYA COFFEE BEANS,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Beans,Solid
DORMANS FINE INSTANT COFFEE,,,,,,,,,Instant Coffee,Powder
DORMANS FINE INSTANT COFFEE 1.6GX36,297,1250,23.2,39.1,0.6,0.2,23.8,83.5,Instant Coffee Mix,Powder
DORMANS GOURMET KENYA WORLD FINEST COFFEE MEDIUM ROAST MEDIUM GRIND,2,8.36,0.5,0.1,0.1,0.1,0.1,1.00E-05,ground coffee,solid
DORMANS GRANULE INSTANT COFFEE 1.6GX36,297,1250,23.2,39.1,0.6,0.2,23.8,83.5,Instant Coffee Mix,Powder
DORMANS HAVE A OF CHEER MEDIUM ROAST AA KENYA COFFEE BEANS,,,,,,,,,Coffee Beans,Solid
DORMANS HOUSEHOLD BLEND INTENSE AND FRUITY COFFEE BEANS,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Beans,Solid
DORMANS HOUSEHOLD DRIP COFFEE BAGS,,,,,,,,,,
DORMANS HOUSEHOLD MEDIUM FINE GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,Coffee Beans,Solid
DORMANS HOUSEHOLD MEDIUM GROUND COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,Coffee Beans,Solid
DORMANS HOUSEHOLD MEDIUM GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,grounded coffee,solid
DORMANS INSTANT DECAFF COFFEE 1.6GX36,300,1255.2,0,50,0,0,0,0,Instant Coffee Mix,Powder
DORMANS INSTANT FINE,,,,,,,,,,
DORMANS INSTANT GRANULES,,,,,,,,,,
DORMANS KENYA KAHAWA MEDIUM ROAST MEDIUM GRIND COFFEE,,,,,,,,,Coffee,Powder
DORMANS KILIMANJARO COFFEE CAPSULE 5GX25,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Capsules,Solid
DORMANS KILIMANJARO MEDIUM FINE GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,Coffee Beans,Solid
DORMANS KILIMANJARO MEDIUM GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,grounded coffee,solid
DORMANS MEDIUM ROAST MEDIUM GRIND KENYA AA COFFEE,1,4.184,,,,,,0.004,Coffee,Powder
DORMANS MOJITO SYRUP,,,,,,,,,,
DORMANS RWANDA MEDIUM FINE GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,grounded coffee,solid
DORMANS RWANDA MEDIUM ROAST MEDIUM GRIND COFFEE,0.884956,3.53982,0,0,0,0,0,0.00176991,grounded coffee,solid
DORMANS SAFARI FAIRTRADE MEDIUM ROAST COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,ground coffee,solid
DORMANS SAFARI FAIRTRADE MEDIUM ROAST MEDIUM GRIND COFFEE,0.884956,3.53982,0,0,0,0,0,0.00176991,ground coffee,solid
DORMANS SUPREMA BRIGHT AND CITRUS MEDIUM ROAST AND MEDIUM GROUND COFFEE,10,42.84,,,,,,0.004,grounded coffee,solid
DORMANS SUPREMA COFFEE CAPSULE 5GX25,2.4,10.0416,0.3,0,0,0.1,0,0.0047,Coffee Capsules,Solid
DORMANS SUPREMA DARK COFFEE BEANS,2,8,0,0,0,0,0,0.004,Coffee Beans,solid
DORMANS SUPREMA DARK ROAST FINE GRIND,0.884956,3.53982,0,0,0,0,0,0.00176991,ground coffee,solid
DORMANS SUPREMA DRIP COFFEE BAGS,,,,,,,,,,
DORMANS SUPREMA MEDIUM FINE GROUND DARK COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,Coffee Beans,Solid
DORMANS SUPREMA MEDIUM GROUND DARK COFFEE,0.884956,3.53982,0,0,0,0,0,0.00176991,grounded coffee,solid
DORMANS SUPREMA MEDIUM GROUND FINE DARK COFFEE,0.884956,3.53982,0,0,0,0,0,0.00176991,grounded coffee,solid
DORMANS SUPREMA MEDIUM ROAST COFFEE BEANS,0.884956,3.53982,0,0,0,0,0,0.00176991,beans,solid
DORMANS SUPREME DECAF INSTANT COFFEE MIX,300,1255.2,0,50,0,0,0,0,Instant Coffee Mix,Powder
DORMANS SUPREME FINE INSTANT COFFEE MIX,297,1250,23.2,39.1,0.6,0.2,23.8,83.5,Instant Coffee Mix,Powder
DORMANS SUPREME GRANULATED INSTANT COFFEE,,,,,,,,,Instant Coffee,Powder
DORMANS SUPREME GRANULATED INSTANT COFFEE MIX,297,1250,23.2,39.1,0.6,0.2,23.8,83.5,Instant Coffee Mix,Powder
DR CHIA SEEDS OF LIFE CHIA SEEDS,60,251.04,2,5,,3.5,4,,Chia Seeds,Solid
DR OETKER BAKING POWDER GLUTEN FREE,,,,,,,,,,
DR OETKER CHOCOLATEY STRANDS,397,1685,1.4,92,90,2.3,,,,
DR OETKER MADAGASCAR VAILLAN BEAN PASTE,,,,,,,,,,
DR OETKER PUD IN MUG CHOCO CHIP,,,,,,,,,,
DR OETKER PUD IN MUG RICH CHOCOLATE,,,,,,,,,,
DR OETKER REGAL-ICE ICING WHITE,,,,,,,,,,
DR OETKER VEGE-GEL 3PACK,,,,,,,,,,
DR OETKER WAFER DAISIES,,,,,,,,,,
DUBAI KUNAFA & HAZELNUT CHOCOLATE,,,,,,,,,,
DUCKS FLY SOAKED DUCK FEET,,,,,,,,,Duck Feet,Solid
DUERR'S MINT SAUCE,125,529,1.5,24,17,0.5,1.9,,Sauce,Paste
DUMA ENERGY DRINK,50,8.36,0.1,12,10,0.1,0.1,0.19,Energy Drink,Liquid
EL SABOR HOT SALSA DIP,40,167.36,1.2,7.5,5,0.2,1.5,,Salsa Dip,Paste
ELBBIN NIBBLE BBQ WAVY CHIPS,160,669.44,1,15,2,10,1,0.13,Wavy Chips,Solid
ELBBIN NIBBLE SNACKS CHOCOLATE,440,1840,6.66667,73.3333,36.6667,10,,,Chocolate,Solid
ELBBIN SHAPIES HONEY HOOPS,,,,,18.8571,0.142857,,,,solid
ELIANTO CORN OIL,884,3569,,,,100,,,Corn Oil,Liquid
ELLA'S KITCHEN FIRST TASTE CARROTS,,,,,,,,,,
ELMERRO SPAIN EXTRA VIRGIN OLIVE OIL,,,,,,,,,,
ELMERRO SPAIN VIRGIN OLIVE OIL,,,,,,,,,,
ELMERRO SPAIN VIRGIN OLVE OIL,,,,,,,,,,
EQUATORIAL AFYA UJI FLOUR,,,,,,,,,Flour,Powder
EQUATORIAL NATURALS IODINE HERBAL SALT,46.1,193,5.1,4.1,,1.3,,,Herbal Salt,Solid
EQUATORIAL NATURALS TOTO AFYA FLOUR,455,1903.72,12.9,95.4,0.3,1.2,3.4,0.0025,Toto Afya Flour,Powder
EQUATORIAL SEA SALT,46.1,193,5.1,4.1,0,1.3,,0.59,Sea Salt,Solid
EQUATORIAL SEASONED SEA SALT,,,,,,,,,,
EQUATORIAL UGALI AFYA FLOUR,,,,,,,,,Ugali Afya Flour,Powder
EQUATORIAL WIMBI AFYA CLASSIC FLOUR,346,1447.66,8,75,,2,,,Flour,Powder
EQUATORIAL WIMBI AFYA FLOUR,364,1522.98,10,76,0.3,1,2.7,0.002,Flour,Powder
EVA ACACIA HONEY,,,,,,,,,,
EVA BLACK PEPPER POWDER SPICE,,,,,,,,,,
EVA BLACK SEEDS,100,418,3,3,5,0,3,0.002,Black Seeds,Solid
EVA CAKE BERELIYAN SPRINKLES,,,,,,,,,Bereliyan Sprinkles,Solid
EVA CAKE METALIC PURPLE SPRINKLES,,,,,,,,,Metalic Purple Sprinkles Per,Solid
EVA CARDAMON HONEY,,,,,,,,,,
EVA CHIA SEEDS,490,205,15.6,43.8,,30.8,,,Chia Seeds,Solid
EVA CHILLI POWDER SPICE,,,,,,,,,,
EVA CINAMMON HONEY,,,,,,,,,,
EVA CINNAMON POWDER SPICE,,,,,,,,,,
EVA CINNAMON WHOLE SPICE,,,,,,,,,,
EVA CURRY POWDER SPICE,,,,,,,,,,
EVA FENUGREEK SPICE,300,1250,20,60,,10,20,0.07,Fenugreek Spice,Solid
EVA GINGER HOT CANDY,,,,,,,,,,
EVA GINGER POWDER SPICE,,,,,,,,,Ginger Powder,Powder
EVA GREEN GRAM PREMIUM,,,,,,,,,,
EVA HIBISCUS WHOLE SPICE,,,,,,,,,,
EVA HONEY WITH GINGER,,,,,,,,,,
EVA KAMANDE,,,,,,,,,,
EVA MORINGA SPICE,,,,,,,,,,
EVA NJAHI BEANS,132.558,554.623,8.86047,23.7093,0.325581,0.534884,8.72093,0.00116279,Njahi Beans,Solid
EVA OLIVE OIL POMACE SPANISH,,,,,,,,,,
EVA OLIVE OIL VIRGIN TURKISH,,,,,,,,,,
EVA ORGANIC POLYFLORAL HONEY,,,,,,,,,,
EVA ORGANIC UNIFLORAL HONEY,,,,,,,,,,
EVA PAPRIKA SPICE,,,,,,,,,,
EVA PEANUT BUTTER,,,,,,,,,,
EVA PEANUT MASALA,,,,,,,,,,
EVA POP CORN KERNELS,,,,,,,,,,
EVA PREMIUM HONEY COMB,,,,,,,,,,
EVA PREMIUM SAFFRON,,,,,,,,,Saffron,Solid
EVA PREMIUM SAFFRON 1GRAM,,,,,,,,,Saffron,Solid
EVA PREMIUM ZAATAR,,,,,,,,,,
EVA PUMPKIN SEED KERNEL,,,,,,,,,,
EVA ROASTED SALTED PUMPKIN,522,2184.05,13.43,1,32.97,42.13,3.9,0.018,Roasted Salted Pumpkin,Solid
EVA SOYA BEANS,,,,,,,,,,
EVA TEA MASALA SPICE,,,,,,,,,,
EVA TURMERIC POWDER SPICE,,,,,,,,,,
EVA WHOLE OREGANO SPICE,265,1109.71,9,68.9,4.1,4.3,42.5,,Whole Oregano,Solid
EVA WHOLE RED CHILLI SPICE,,,,,,,,,Red Chilli Spice,Solid
EVA YELLOW BEANS,,,,,,,,,,
EVA ZAFFRON HONEY,,,,,,,,,,
EVIAN MINERAL WATER,,,,,,,,,,
EVIAN MINERAL WATER 1.5LT,,,,,,,,,,
EVIAN SPARKLING MINERAL WATER,,,,,,,,,,
EXCEL PURE GLUCOSE POWDER,,,,,,,,,Glucose Powder,Powder
EXCEL QUENCHER LEMON TREAT DRINK,99,414,2.9,11,11,4.8,,0.036,Drink,Liquid
EXCEL QUENCHER ORANGE DRINK,13,54.392,0,3,2,0,0,0,Drink,Liquid
EXCEL QUENCHER PINEAPPLE DRINK,56,234.304,0.1,14,8,,,0.001,Drink,Liquid
EXCEL QUENCHER PINEAPPLE JUICE,55,181,0.4,9.8,13.2,0.1,0.2,0.00022,Juice,Liquid
EXE UNGA ALL PURPOSE FORTIFIED WHEAT FLOUR,364,1522.97,10,76,0.3,1,,0.002,Wheat Flour,Powder
EXE UNGA MANDAZI FORTIFIED WHEAT FLOUR,364,1522.97,10,76,0.3,1,,0.002,Wheat Flour,Powder
EXE UNGA SELF RAISING FORTIFIED WHEAT FLOUR,333,1393.27,6.9,70,,,,1.067,Wheat Flour,Powder
EXPLORE G/F CHICKPEA FUSILLI,,,,,,,,,,
EXPLORE G/FEDAMAME SPAGHETTI,,,,,,,,,,
FABAO INSTANT DRY YEAST,,,,,,,,,Dry Yeast,Solid
FAIRLEIGH JAGGERY SUGAR,383,1602,0,95,97,0,,,Jaggery,Solid
FAIRLEIGH JAGGERY SWEETENER BLOCK,297,1302,,76,69,,,,Sweetener Block,Powder
FAIRY BEE OAT CHOCO CHOCOLATE BISCUIT,52.9,221.51,4.2,45.8,26,2.39,,,Biscuit,Solid
FAMILA BABY PORRIDGE,,,,,,,,,wheat flour,
FAMILA BANANA PORRIDGE FLOUR,,,,,,,,,,
FAMILA INFANT WEANING PORRIDGE,,,,,,,,,wheat flour,solid
FAMILA MAMA'S PORRIDGE,,,,,,,,,,
FAMILA NUTRI HEALTH UJI PORRIDGE FLOUR,,,,,,,,,,
FAMILA PURE WIMBI PORRIDGE,,,,,,,,,,
FAMILA STRAWBERRY PORRIDGE FLOUR,,,,,,,,,,
FAMILA THE ORIGINAL UJIMIX SOUR PORRIDGE,,,,,,,,,,
FANAKA FRUIT DRINK - APPLE,,,,,,,,,,
FANAKA FRUIT DRINK - GUAVA,,,,,,,,,,
FANAKA FRUIT DRINK - MANGO,,,,,,,,,,
FANAKA FRUIT DRINK - TROPICAL FRUIT MIX,,,,,,,,,,
FANTA BLACKCURRANT,,,,,,,,,Drink,Liquid
FANTA BLACKCURRANT SODA,,,,,,,,,Drink,Liquid
FANTA ORANGE,,,,,,,,,Drink,Liquid
