description,class_name,subclass_name,nova
BUTTER TOSTI,BREADS,WHITE BREAD,Ultra-processed foods
BUTTERFLY KENYAN PISHORI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
BUTTERFLY LONG GRAIN RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
BUTTERFLY PREM SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
BUTTERFLY STANDARD SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
BUTTERFLY STD SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
C I L BLENDED RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
C I L BROWN RICE,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods
C I L PISHORI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
C&R WOTS CHEVDO CHILLY LEMON,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
C&R WOTS CHEVDO HOT & SPICY,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
C&R WOTS CHEVDO SOFT & CRISPY,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
C&R WOTS H-MADE JAM & C-NUT COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
C&R WOTS INDIAN MIX,SWEET AND SAVOURY SNACKS,BHUSU MIX,Ultra-processed foods
C&R WOTS PURI SPICY,SWEET AND SAVOURY SNACKS,CRISPY PURI,Ultra-processed foods
C&R WOTS TIKHA GATHIA,SWEET AND SAVOURY SNACKS,GANTHIYA,Ultra-processed foods
