description,class_name,subclass_name,nova
TUZO LALA,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
TUZO YOGHURT VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
TWIGA MAIZE MEAL,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
TWO TEN MAIZE MEAL,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
U H T LONG LIFE K C C,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
UDONGO CHARSCO,EDIBLE CLAY,EDIBLE CLAY,Unprocessed/Minimally processed foods
UFUTA COOKING OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
URBAN BBQ STIX NORDA,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
URBAN BITES CRISPS F/FRUIT CHUTNEY,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES CRISPS FUNKY F CHUTNEY,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES CRISPS PARTY PAPRIKA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES CRISPS SUMMER SALT,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES CRISPS TREDY TOMATO,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES NAIROBI NYAM CHOM,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES NYAM CHOM,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN BITES TRENDY TOMATO,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
URBAN CHUTNEY STIX NORDA,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
URBAN SWEET CHILLI STIX NORDA,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
VIMTO SPARKLING DRINK,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
VIRANI CURRY POWDER,HERBS AND SPICES,SPICES - CURRY POWDER,Unprocessed/Minimally processed foods
WABA MINERAL WATER 10LT,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
WABA MINERAL WATER 20LT NON RETUNABLE,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
WAVES CRISPS SALTED DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
WEETABIX BANANA,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX CONFLAKES,BREAKFAST CEREALS,CORN FLAKE CEREALS,Ultra-processed foods
WEETABIX CORNFLAKES,BREAKFAST CEREALS,CORN FLAKE CEREALS,Ultra-processed foods
WEETABIX FAMILY,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX GIANT,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX SINGLE SERVE,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX SIX,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX STANDARD,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX VALUE,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WEETABIX WEETOS,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
WOW CHEESE N ONION,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
WOW DRINKING CHOCOLATE SAT,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
WOW SALTED,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
WOW SUGARED,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
WOW TOMATO FLAV,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
