source_dataset,source_row_ids,merged_duplicate_count,product_name,normalized_name,package_size,portion_type,portion_basis,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,saturated_fat_g,trans_fat_g,fibre_g,sodium_g,salt_g,calcium_mg,sub_type,form,category,flavour,additives,data_quality_flags
all_categories_combined,1746,1,Caffe Del Duca Espresso Roasted Coffee 250g,CAFFE DEL DUCA ESPRESSO ROASTED COFFEE,Pack size : 250g,Average Nutritional Value As Per 100g,PER_100G,2,8.36,,,,,,,,0.004,0.01,,Coffee,Solid,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,3658,1,Candy Castle Crew Neon Yo Yo Spinner Fruit Star Candy 26g,CANDY CASTLE CREW NEON YO YO SPINNER FRUIT STAR CANDY,Pack size : 26g,Average Nutritional Value As Per 12g,PER_12G_SCALED,3283.33,13733.3,,808.333,808.333,,,,,,,,Star Candy,Solid,Food,Fruit,,missing_sodium|missing_total_fat
all_categories_combined,178,1,Candy Castle Crew Rose Triple Dipper Candy 35G,CANDY CASTLE CREW ROSE TRIPLE DIPPER CANDY,Pack size : 35g,Average Nutritional Value As Per 100g,PER_100G,379,1583,,95,93,,,,,0,0,,Candy,Solid,Food,,,missing_total_fat|sodium_derived_from_salt
all_categories_combined,3074,1,Candy Kenya Africa Mint 80Pcs,CANDY KENYA AFRICA MINT,Pack size : 80 Pieces,Average Nutritional Value As Per 100g,PER_100G,334,1397,0.2,16,9.7,1.2,,,1,0,0,,Candy,Solid,Food,Mint,,salt_derived_from_sodium
all_categories_combined,3078,1,Candy Kenya Butter Candy Milk Smkt100G,CANDY KENYA BUTTER CANDY MILK SMKT100G,Pack size : 100g,100g,PER_100G,235,982,,87,3,0.2,,,,,,,Food,,Food,,,missing_sodium
all_categories_combined,4419,1,Candy Kenya Butter Scotch Candy 100g,CANDY KENYA BUTTER SCOTCH CANDY,Pack size : 100g,Average Nutritional Value As Per 16g,PER_16G_SCALED,393.75,1647.45,0,87.5,81.25,3.125,,,0,0.39375,0.984375,,Candy,Solid,Food,Butter Scotch,,salt_derived_from_sodium
all_categories_combined,2,1,Candy Kenya Eclairs Lollipop 8 Pieces,CANDY KENYA ECLAIRS LOLLIPOP,Pack size : 8 Pieces,Average Nutritional Value As Per 100g,PER_100G,452,1900,4.2,71,48,17,,,0,,,,Lollipop,Solid,Food,,,missing_sodium
all_categories_combined,4374,1,Candy Kenya Eclairs Premium Toffee 50Pc,CANDY KENYA ECLAIRS PREMIUM TOFFEE,Pack size : 50pieces,100g,PER_100G,235,982,,87,3,0.2,,,,,,,Food,,Food,,,missing_sodium
all_categories_combined,20,1,Candy Kenya Full Filling Butter Pops XXL Candy 50 Pieces,CANDY KENYA FULL FILLING BUTTER POPS XXL CANDY,Pack size : 50 Pieces,Average Nutritional Value As Per 100g,PER_100G,530,2217.52,7,58,22,29,,,,,,,Candy,Solid,Food,,,missing_sodium
all_categories_combined,4429,1,Candy Kenya Milk Toffee 80 Pieces,CANDY KENYA MILK TOFFEE,Pack size : 80 Pieces,Average Nutritional Value As Per 100g,PER_100G,360,1506.24,2,79,49,4,,,3.4,0.22,0.55,,Toffee,Solid,Food,Milk,,salt_derived_from_sodium
all_categories_combined,4420,1,Candy Kenya Milks Candy 100g,CANDY KENYA MILKS CANDY,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,535,2238.44,7.65,59.4,51.5,29.66,,,3.4,0.079,0.1975,,Candy,Solid,Food,Milk,,salt_derived_from_sodium
all_categories_combined,4431,1,Candy Kenya Milkyogurt Toffee 80 Pieces,CANDY KENYA MILKYOGURT TOFFEE,Pack size : 80 Pieces,Average Nutritional Value As Per 100g,PER_100G,105,440,5.7,11.6,10.7,4.3,,,,,,,Toffee,Solid,Food,,,missing_sodium
all_categories_combined,3,1,Candy Kenya Sweety Sweety Lollipop 8 Pieces,CANDY KENYA SWEETY SWEETY LOLLIPOP,Pack size : 8 Pieces,Average Nutritional Value As Per 100g,PER_100G,147,615,0,39,25.16,0.08,,,0,,,,Lollipop,Solid,Food,,,missing_sodium
all_categories_combined,3076,1,Candy Kenya Tropical Fruit Candy 100g,CANDY KENYA TROPICAL FRUIT CANDY,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,196,828,0,43.9,43.5,2.1,,,,0.004,0.01,,Fruit Candy,Solid,Food,Tropical,,sodium_derived_from_salt
all_categories_combined,4381,1,Candy Land Eclairs Toffee 100g,CANDY LAND ECLAIRS TOFFEE,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,458,1921,3.6,68.5,43.3,19.4,,,,0.204,0.51,,Eclairs Toffee,Solid,Food,,,sodium_derived_from_salt
all_categories_combined,3663,1,Candyland Super Twister Marshmallow Candy Sticks 11g,CANDYLAND SUPER TWISTER MARSHMALLOW CANDY STICKS,Pack size : 11g,Average Nutritional Value As Per 100g,PER_100G,498,2093,4,96.8,51,,,,,0.0008,0.002,,Candy Sticks,Solid,Food,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,3625,1,CAPILANO Manuka Australian Floral Honey 340g,CAPILANO MANUKA AUSTRALIAN FLORAL HONEY,Pack size : 340g,Average Nutritional Value As Per 100g,PER_100G,338.43,1416,0.3,83.1,82.5,,,,,0.015,0.0375,,Honey,Paste,Food,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,4282,1,CAPILANO Pure Australian Honey 500g,CAPILANO PURE AUSTRALIAN HONEY,Pack size : 500g,Average Nutritional Value As Per 100g,PER_100G,338.43,1416,0.3,83.1,82.5,,,,,0.015,0.0375,,Honey,Paste,Food,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,4258,1,Capilano Pure Honey 220g,CAPILANO PURE HONEY,Pack size : 220g,Average Nutritional Value As Per 100g,PER_100G,338,1416,0.3,83.1,82.5,0,,,,0.015,0.0375,,Honey,Paste,Food,,,salt_derived_from_sodium
all_categories_combined,2517,1,Captain Cook Pure Corn Oil 5L,CAPTAIN COOK PURE CORN OIL,Pack size : 5L,Average Nutritional Value As Per 100ml,PER_100ML,122,510,,13,,13,,,,,,,Pure Corn Oil,Liquid,Food,Corn,,missing_sodium|missing_sugar
all_categories_combined,257,1,Caroline Chocolate Cupcakes Mix 510g,CAROLINE CHOCOLATE CUPCAKES MIX,Pack size : 510g,Average Nutritional Value As Per 237g,PER_237G_SCALED,55.2743,231.266,0.421941,12.2363,,0.421941,,,,,,,Cupcakes Mix,Powder,Food,Cocoa,,missing_sodium|missing_sugar
all_categories_combined,248,1,Caroline Chocolate Fudge cake Mix 510G,CAROLINE CHOCOLATE FUDGE CAKE MIX,Pack size : 510g,Average Nutritional Value As Per 90g,PER_90G_SCALED,366.667,1534.13,5.55556,86.6667,51.1111,1.11111,,,,,,,Cupcake Mix,Powder,Food,Chocolate,,missing_sodium
all_categories_combined,256,1,Caroline Doughnuts Mix 475g,CAROLINE DOUGHNUTS MIX,Pack size : 475g,Average Nutritional Value As Per 100g,PER_100G,394,1648.5,7,77,24,6,,,0,0.56,1.4,,Doughnuts Mix,Powder,Food,,,salt_derived_from_sodium
all_categories_combined,259,1,Caroline Gingerbread Cookies Mix 500g,CAROLINE GINGERBREAD COOKIES MIX,Pack size : 500g,Average Nutritional Value As Per 453g,PER_453G_SCALED,356.954,1493.49,6.84327,81.8985,35.9823,,,,,,,,Cookies Mix,Powder,Food,Gingerbread,,missing_sodium|missing_total_fat
all_categories_combined,247,1,Caroline Gluten Free Pancakes & Waffles Mix 435g,CAROLINE GLUTEN FREE PANCAKES WAFFLES MIX,Pack size : 435g,Average Nutritional Value As Per 100g,PER_100G,130,543.92,2,24,4,2,,,2,0.25,0.625,,Cassava Flour Pancakes And Waffles Mix,Powder,Food,Cassava,,salt_derived_from_sodium
all_categories_combined,253,1,Caroline Moist Carrot Cake Mix 420g,CAROLINE MOIST CARROT CAKE MIX,Pack size : 420g,Average Nutritional Value As Per 100g,PER_100G,205,857.72,3,29,17,8,,,1,0.3,0.75,,Cake Mix,Powder,Food,Carrot,,salt_derived_from_sodium
all_categories_combined,254,1,Caroline Pizza Crust Mix 540g,CAROLINE PIZZA CRUST MIX,Pack size : 540g,Average Nutritional Value As Per 100g,PER_100G,160,669.44,5,33,2,1,,,1,0.2,0.5,,Pizza Crust Mix,Powder,Food,,,salt_derived_from_sodium
all_categories_combined,252,1,Caroline Red Velvet Cake Mix 510g,CAROLINE RED VELVET CAKE MIX,Pack size : 510g,Average Nutritional Value As Per 100g,PER_100G,200,836.8,2,40,18,5,,,1,,,,Cake Mix,Powder,Food,Red Velvet,,missing_sodium
all_categories_combined,264,1,Caroline Spicy Cake Mix 435g,CAROLINE SPICY CAKE MIX,Pack size : 435g,Average Nutritional Value As Per 86g,PER_86G_SCALED,395.349,1654.14,2.32558,79.0698,41.8605,9.30233,,,1.16279,0.813953,2.03488,,Cake Mix,Powder,Food,,,salt_derived_from_sodium
all_categories_combined,258,1,Caroline Vanilla Cookies Mix 500g,CAROLINE VANILLA COOKIES MIX,Pack size : 500g,Average Nutritional Value As Per 24g,PER_24G_SCALED,375,1569,16.6667,50,8.33333,25,,,12.5,0.395833,0.989583,,Cookies Mix,Powder,Food,Vanilla,,salt_derived_from_sodium
all_categories_combined,262|263,2,Caroline Vanilla Cupcakes Mix 450g,CAROLINE VANILLA CUPCAKES MIX,Pack size : 450g,Average Nutritional Value As Per 100g,PER_100G,140,585.76,2,34,18,,,,1,,,,Cupcakes Mix,Powder,Food,Vanilla,,missing_sodium|missing_total_fat
all_categories_combined,325,1,Carrefour 64% Cocoa Dessert Chocolate Bar 200g,CARREFOUR 64 COCOA DESSERT CHOCOLATE BAR,Pack size : 200g,Average Nutritional Value As Per 100g,PER_100G,545,2266,9.1,41,36,36,,,10,0.012,0.03,,Chocolate Bar,Paste,Food,,,sodium_derived_from_salt
all_categories_combined,2777,1,Carrefour Apricot Cereal Bar 125g,CARREFOUR APRICOT CEREAL BAR,Pack size : 125g,Average Nutritional Value As Per 100g,PER_100G,371,1566,5.3,72,24,5.8,,,,,,,Cereal Bar,Solid,Food,Apricot,,missing_sodium
all_categories_combined,4301|4305,2,Carrefour Apricot Fruit Jam 370g,CARREFOUR APRICOT FRUIT JAM,Pack size : 370g,Average Nutritional Value As Per 100g,PER_100G,48,200.832,1.4,11,9,0.4,,,2,0.001,0.0025,,Jam,Jelly,Food,Apricot,,salt_derived_from_sodium
all_categories_combined,2405,1,Carrefour Arabiata Pasta Sauce 420g,CARREFOUR ARABIATA PASTA SAUCE,Pack size : 420g,Average Nutritional Value As Per 100g,PER_100G,46,192,1.2,7,5,1,,,1.3,0.36,0.9,,Sauce,Paste,Food,,,sodium_derived_from_salt
all_categories_combined,287,1,Carrefour Baking Yeast 30g,CARREFOUR BAKING YEAST,Pack size : 30g,Average Nutritional Value As Per 100g,PER_100G,93,390,50,33,,6,,,,,,,Baking Yeast,Powder,Food,,,missing_sodium|missing_sugar
all_categories_combined,1432,1,Carrefour Barbecue Sauce 350ml,CARREFOUR BARBECUE SAUCE,Pack size : 350ml,Average Nutritional Value As Per 100g,PER_100G,121,513,1.1,27,24,0.7,,,1.2,0.88,2.2,,Barbecue Sauce,Paste,Food,,,sodium_derived_from_salt
all_categories_combined,2404,1,Carrefour Basil Tomato Cooking Sauce 420g,CARREFOUR BASIL TOMATO COOKING SAUCE,Pack size : 420g,Average Nutritional Value As Per 100g,PER_100G,54,228,0.9,8.6,5.5,1.5,,,1.4,0.352,0.88,,Cooking Sauce,Paste,Food,"Tomato, Basil",,sodium_derived_from_salt
all_categories_combined,837,1,Carrefour Beef Chili Con Carne Ready Meal 350g,CARREFOUR BEEF CHILI CON CARNE READY MEAL,Pack size : 350g,Average Nutritional Value As Per 100g,PER_100G,114,476,6.9,12,1.6,3.3,,,4.1,,,,Con Carne Ready Meal,Solid,Food,Beef,,missing_sodium
all_categories_combined,4302,1,Carrefour Bio Apricot Fruit Jam 360g,CARREFOUR BIO APRICOT FRUIT JAM,Pack size : 360g,Average Nutritional Value As Per 100g,PER_100G,246,1048,0.6,58,58,0.2,,,1.1,0.00104,0.0026,,Jam,Jelly,Food,Apricot,,salt_derived_from_sodium
all_categories_combined,2871,1,Carrefour Bio Dark Almond 100G,CARREFOUR BIO DARK ALMOND,Pack size : 100g,Nutrition information as per 100g,PER_100G,550,2289,8.1,43,40,36,,,11,,,,,,,,,missing_sodium
all_categories_combined,2847,1,Carrefour Bio Dark Orange 100G,CARREFOUR BIO DARK ORANGE,Pack size : 100g,Nutrition information as per 100g,PER_100G,551,2293,7.1,44,41,36,,,12,0.008,0.02,,,,,,,
all_categories_combined,3257,1,Carrefour Bio Milk Hazelnut Chocolate Bar 100G,CARREFOUR BIO MILK HAZELNUT CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,565,2351,8.1,41,39,40,,,4.5,0.08,0.2,,Chocolate Bar,Solid,Food,Hazelnut,,sodium_derived_from_salt
all_categories_combined,2848,1,Carrefour Bio Organic 74 Cocoa Dark Chocolate Bar 100G,CARREFOUR BIO ORGANIC 74 COCOA DARK CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,567,2353,9.6,32,27,42,,,12,0.012,0.03,,Chocolate Bar,Solid,Food,Cocoa,,sodium_derived_from_salt
all_categories_combined,2846,1,Carrefour Bio Peru 85% 100G,CARREFOUR BIO PERU 85,Pack size : 100g,Nutrition information as per 100g,PER_100G,631,2610,9.1,20,15,55,,,12,,,,,,,,,missing_sodium
all_categories_combined,4229,1,Carrefour Cheese Potato Chips 170G,CARREFOUR CHEESE POTATO CHIPS,Pack size : 170g,Average Nutritional Value As Per 100g,PER_100G,525,2196.6,9.1,56,2.9,30,,,4.4,0.287,0.7175,,Potato Chips,Solid,Food,Cheese,,salt_derived_from_sodium
all_categories_combined,3698,1,Carrefour Corneez Chilli Crispy Corn Snacks 90G,CARREFOUR CORNEEZ CHILLI CRISPY CORN SNACKS,Pack size : 90g,Average Nutritional Value As Per 100g,PER_100G,520,2175.68,3.5,64,4,28,,,3.6,1.029,2.5725,,Corn Snacks,Solid,Food,Chilli,,salt_derived_from_sodium
all_categories_combined,845,1,Carrefour Couscous Thin Semoulina 500g,CARREFOUR COUSCOUS THIN SEMOULINA,Pack size : 500g,Average Nutritional Value As Per 100g,PER_100G,350,1482,12,70,3,1.5,,,4,0.004,0.01,,Semolina,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,81,1,Carrefour Dark Chocolate Butter Biscuits 150g,CARREFOUR DARK CHOCOLATE BUTTER BISCUITS,Pack size : 150g,Average Nutritional Value As Per 100g,PER_100G,511,2142,6.9,67,36,23,,,4.3,0.3,0.75,,Biscuits,Solid,Food,"Dark Chocolate, Butter",,sodium_derived_from_salt
all_categories_combined,322,1,Carrefour Dessert Milk Chocolate Bar 200G,CARREFOUR DESSERT MILK CHOCOLATE BAR,Pack size : 200g,Average Nutritional Value As Per 100g,PER_100G,554,2308,6.7,53,52,35,,,2,0.104,0.26,,Chocolate Bar,Solid,Food,Milk Chocolate,,sodium_derived_from_salt
all_categories_combined,2849,1,Carrefour Extra Fine Tablet Tasting Milk Chocolate Bar 100g,CARREFOUR EXTRA FINE TABLET TASTING MILK CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,570,2374,9.1,49,48,37,,,2.1,0.092,0.23,,Chocolate Bar,Solid,Food,,,sodium_derived_from_salt
all_categories_combined,3815,1,Carrefour Galette Coconut Biscuits 125g,CARREFOUR GALETTE COCONUT BISCUITS,Pack size : 125g,Average Nutritional Value As Per 100g,PER_100G,479,2011,5.5,69,30,20,,,2.3,,,,Biscuit,Solid,Food,Coconut,,missing_sodium
all_categories_combined,4194,1,Carrefour Handcooked Cheese Potato Chips 40G,CARREFOUR HANDCOOKED CHEESE POTATO CHIPS,Pack size : 40g,Average Nutritional Value As Per 100g,PER_100G,213,891.192,3.5,21,1.2,13,,,1.9,0.1,0.25,,Potato Chips,Solid,Food,Cheese,,salt_derived_from_sodium
all_categories_combined,4193,1,Carrefour Handcooked Chili Potato Chips 40G,CARREFOUR HANDCOOKED CHILI POTATO CHIPS,Pack size : 40g,Average Nutritional Value As Per 100g,PER_100G,214,895.376,3.7,21,1.9,13,,,1.7,0.234,0.585,,Potato Chips,Solid,Food,Chili,,salt_derived_from_sodium
all_categories_combined,4192,1,Carrefour Handcooked Sea Salt And Cider Vinegar Potato Chips 40G,CARREFOUR HANDCOOKED SEA SALT AND CIDER VINEGAR POTATO CHIPS,Pack size : 40g,Average Nutritional Value As Per 100g,PER_100G,208,870.272,3.8,21,1.7,12,,,1.7,0.228,0.57,,Potato Chips,Solid,Food,"Sea Salt, Cider Vinegar",,salt_derived_from_sodium
all_categories_combined,2180,1,Carrefour Iodized Fine Table Salt Red 600g,CARREFOUR IODIZED FINE TABLE SALT RED,Pack size : 600g,Average Nutritional Value As Per 100g,PER_100G,0,0,0,0,0,0,,,0,0.0387,0.09675,,Salt,Powder,Food,,,salt_derived_from_sodium
all_categories_combined,4614,1,Carrefour Jam Rhubarb 370G,CARREFOUR JAM RHUBARB,Pack size : 370g,Average Nutritional Value As Per 100g,PER_100G,238,995.792,0.3,59,59,,,,1.4,,,,Rhubarb Jam,Paste,Food,,,missing_sodium|missing_total_fat
all_categories_combined,2445,1,Carrefour M Vegetable Oil 3L,CARREFOUR M VEGETABLE OIL,Pack size : 3L,100g,PER_100G,884,,0,0,,97,,,,0.0155,0.03875,,,Liquid,Vegetable cooking oil,,,missing_sugar|salt_derived_from_sodium
all_categories_combined,3676,1,Carrefour Marshmallows 300g,CARREFOUR MARSHMALLOWS,Pack size : 300g,Average Nutritional Value As Per 100g,PER_100G,332,1412,3.6,79,71,0.5,,,0,0,0,,Marshmallows,Solid,Food,,,sodium_derived_from_salt
all_categories_combined,4408,1,Carrefour Milk Choco Rocher 7X35G,CARREFOUR MILK CHOCO ROCHER 7X35G,,Nutritional Information Per 100g,PER_100G,592,,8.2,43.8,,42.7,,,2.63,0.0656,0.164,,,,,,,missing_sugar|sodium_derived_from_salt
all_categories_combined,80,1,Carrefour Milk Chocolate Butter Biscuits 150g,CARREFOUR MILK CHOCOLATE BUTTER BISCUITS,Pack size : 150g,Average Nutritional Value As Per 100g,PER_100G,506,2123,6.8,69,40,22,,,2.6,0.3,0.75,,Biscuits,Solid,Food,"Milk Chocolate, Butter",,sodium_derived_from_salt
all_categories_combined,488|493|502|504|509,5,Carrefour Mineral Water 18.5L,CARREFOUR MINERAL WATER,Pack size : 18.5L,Average Nutritional Value As Per 100ml,PER_100ML,0,0,,,,,,,,0.01462,0.03655,,Mineral Water,Liquid,Beverage,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,602,1,Carrefour Mlogo Pasta Fusili 400G,CARREFOUR MLOGO PASTA FUSILI,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,364,1522.9,7,72,,1,,,3,0,0,,Pasta,Solid,Food,,,missing_sugar|salt_derived_from_sodium
all_categories_combined,638,1,Carrefour Mlogo Pasta Spaghetti 400G,CARREFOUR MLOGO PASTA SPAGHETTI,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,363,1518.7,12,74,3,1,,,2,0,0,,Pasta,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,2399,1,Carrefour Mushroom Forest Tomato Cooking Sauce 420G,CARREFOUR MUSHROOM FOREST TOMATO COOKING SAUCE,Pack size : 420g,Average Nutritional Value As Per 100g,PER_100G,71,296,2.1,5.7,4.5,3.6,,,3.8,0.43,1.1,,Cooking Sauce,Paste,Food,Mushroom,,
all_categories_combined,3705,1,Carrefour Nacho Cheese Tortilla Chips 180G,CARREFOUR NACHO CHEESE TORTILLA CHIPS,Pack size : 180g,Average Nutritional Value As Per 100g,PER_100G,481,2012.5,6,70,48,20,,,47,1.05,2.625,,Tortilla Chips,Solid,Food,Nacho Cheese,,salt_derived_from_sodium
all_categories_combined,1475,1,Carrefour Natural Light Vinaigrette Salad Dressing 0.5L,CARREFOUR NATURAL LIGHT VINAIGRETTE SALAD DRESSING,Pack size : 0.5L,Average Nutritional Value As Per 100ml,PER_100ML,239,982,,2.5,2.5,50,,,,0.001,0.0025,,Salad Dressing,Liquid,Food,,,salt_derived_from_sodium
all_categories_combined,4603,1,Carrefour Orange Marmalade Jam 370g,CARREFOUR ORANGE MARMALADE JAM,Pack size : 370g,Average Nutritional Value As Per 100g,PER_100G,245,1025.08,0.3,65,60,0.3,,,0.7,0.037,0.0925,,Jam,Jelly,Food,Orange,,salt_derived_from_sodium
all_categories_combined,718,1,Carrefour Pasta Conchigle Rigate 400G,CARREFOUR PASTA CONCHIGLE RIGATE,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,339,1418.3,4,78,61,0,,,0,0,0,,Pasta,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,762,1,Carrefour Pasta Ditali Rigati 400G,CARREFOUR PASTA DITALI RIGATI,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,349,1460.2,0,0,0,1,,,0,0,0,,Pasta,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,666,1,Carrefour Pasta Farfalle 400G,CARREFOUR PASTA FARFALLE,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,344,1439.3,12,68,3,2,,,3,0,0,,Pasta,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,848,1,Carrefour Pasta Risetti 400G,CARREFOUR PASTA RISETTI,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,365,1527.16,13,72,3,2,,,3,0.005,0.0125,,Pasta,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,857,1,Carrefour Pasta Tripolini 400G,CARREFOUR PASTA TRIPOLINI,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,357,1493.6,12,75,1,0,,,3,0.002,0.005,,Pasta,Solid,Food,,,salt_derived_from_sodium
